stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,24.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.82,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.15,0,0,0,11.18,0,6.67,10.58,0,0,0,0,0,0,0,0
 14-21,0,0,8.95,3.74,0,0.91,0,0,0,2.26,0,0,0,0,0,0,0,0.88,6.44,0,0,10.22,202.57,24.73,0,0,0,0,4.83,0,0,1.1,279.31,0,0,0,0,0
 24-34,2.27,0,7.29,1.56,0,13.68,0,0,0,6.79,0,0,0,0,0,0,0,11.43,48.46,0,0,14.82,1319.26,6.23,2.12,0.82,0,0.99,6.84,2.17,0,6.53,440.11,0,0,4.96,0,0
 36-46,2.35,0,0.89,4.14,0,105.09,0,0,0,41.21,0,4.87,0,0,1.76,0,0,0.91,70.01,0,13.55,0.73,3563.43,0.92,5.67,0,0,2.1,0,0,0,0,801.74,0,0,0,0,1.39
 48-58,0,0,10.87,4.62,0,552.28,3.01,0,0.5,95.23,0,0.89,1.05,0,0,0,0,1.36,28.46,0,1.4,4.28,5027.83,0.59,3.1,0,0,2.58,0.46,0,0,0,672.52,0,0,0.5,0.5,15.71
 60-70,0,0,8.77,5.19,0,5160.88,0,8.91,0,74.7,0,0,0,0,0.89,0,0,0,48.99,0,0.85,11.46,7524.21,0,2.76,1.72,0,0.98,9.05,0,0,0,853.65,0,0,2.69,2.76,29.56
 72-82,1.47,0,56.44,17.41,0,8417.47,0,0,2.14,116.68,4.75,4.75,10.62,0,13.13,0,0,4.12,44.85,0,0.96,0.85,7248.89,0.53,3.27,3.17,0,0.83,9.83,0,0,0,551.89,13.2,3.47,4.34,0.52,0
 84-94,0,1,29.65,9.96,0,7125.98,0,6.53,2.41,183.27,2.59,0,1.49,0,0.65,0.69,0,27.28,71.36,0,2.98,7.73,6129.99,0,1.17,2.87,0,6.05,20.07,0,0.69,0,506.99,0,4.85,11.39,9.88,5.81
 96-106,2.22,0,50.56,26.13,0,7286.36,0,10.8,3.76,151.2,2.56,5.92,8,9.11,7.16,0,20.9,4.09,62.16,1.61,1.14,0,4300.89,1.54,4.08,5.07,0,4.1,8.35,0,0,0,137.79,4.09,3.81,0,3.73,2.07
108-118,5.34,0,54.98,3.35,9.14,5857.86,0,0.65,7.39,111.57,4.58,0,10.04,0,3.26,0,5.67,0,50.71,0,9.45,6.06,4585.52,0,3.5,11.99,0,0,3.52,0,0,0,144.49,7.52,2.63,0.56,2.84,21.73
120,0,0,62.6,8.42,0,3571.04,0,0,5.27,113.35,0,9.28,4.88,0,2.93,3.76,5.48,1.61,75.66,0,0,0,5668.8,4.15,0,2.25,0,0,1.13,3.15,0,0,186.65,0,10.18,7.78,0,1.16
