stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,44.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94,0,0,0,10.5,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,15.65,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.93,0,9.17,0,0,1.47,0,0,0,1.25,0,0,0,0,151.62,0,0,0,0,0,9.17,0,0,13.11,0,3.56,0,0,3.69,2.54,3.77,6.33,0,0,0,0,0
 24-34,0,0,3.66,0,4.7,0,0,12.85,0,0,0,0,0,0,0,0,525.66,0,3.78,0,0.9,7.76,71.53,0,0.89,66.37,0,29.54,0,0,1.02,0,3.55,17.35,0,0,0,0,0
 36-46,0,0,3.49,0,7.3,0,0,37.96,0,0,0,0,0,0,0,0,146.85,0,1.97,0,0,1.98,7.51,1.13,1.57,67.73,0,23.56,1.31,0,1.86,0,0,16.95,0,0,0,0,0
 48-58,0,0,0.67,0,7.68,0,0,270.22,0,0,0,9.85,0,0.93,0,0,42.55,0,1.66,4.43,0,6.42,6.36,0,1.31,103.7,0,21.42,0,0,0.88,0,0,9.36,0,0,0,0,0.66
 60-70,0,0,6.04,0,4.81,0,0,1216.7,0,0,0,11.15,0,2.38,0,0,49.81,0,9.22,0,0,5.6,0,0,1.27,143.54,0,10.76,0,0,0,0,0,19.97,0,0,0,0,0
 72-82,0,0,14.71,0,10.78,0,0,2196.53,2.62,0,0.82,14.95,3.85,0,0,0,70.61,0,9.68,0,0,8.43,2.3,2.84,0.68,143.14,0,12.96,2.4,0,0,0,0,17.69,3.7,0,0,1.28,8.32
 84-94,0,0,9.45,0,11.87,0,0,1786.91,1.38,2.16,1.21,24.52,9.19,0.77,0,1.33,148.69,14.55,13.07,0,0,21,3.77,0,1.47,141.71,0,5.09,3,0,7.27,0,0,6.2,0.97,0,1.18,0.77,0.69
 96-106,0,0,11.83,0,14.97,2.48,0.97,1608.51,0,0,0,11.37,9.2,0,1.61,2.36,137.58,0.66,39.16,0,0,7.38,4.35,0.62,0.6,78.49,0,15.98,2.81,0,0,0,0,0,0,2.8,0,0,0
108-118,3.02,0,3.04,0,6.16,0,0,1419.23,0,0,0,11.13,11.94,0,0,0.59,100.17,3.23,14.4,0.52,2.19,12.2,1.81,0,0.7,123.21,0,15.44,3.36,0,4.28,0,4.13,8.69,1.37,0,2.52,0,0
120,0,0,0,0,11.8,0,0,941.18,0,2.48,0,2.5,8.85,0,0,0,62.8,2.67,17.94,0,0,5.75,3.54,0,0,70.82,0,6.55,2,0,0,0,2.39,1.95,0,0,0,0,0
