stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.02,378.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.88,483.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.66,0,0,0,0,0,14.78,0,0,0,0,0,0,0,0,0
  7-9,6.76,10.4,0,4.72,0,0,3.32,0,0,0,0,0,17.89,0,0,0,0,0,0,0,0,0,0,0,271.56,16,0,0,53.62,0,3.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.45,0,0,0,0,0,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,0,55.66,0,0,0,8.62,0,3.3,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.72,0,2.97,0,0,0,2.22,1.2,0,0,0,1.78,0,0,2.09,0,0,0,0,0,61.89,0,5.3,0,0,0,1.74,1.46,1.76,0,32.39,0,0,0,0,0
 24-34,0,0,4.71,0,6.37,1.46,13.38,0,1.73,0,1.25,1.38,0,0,0,3.32,0,0,0,0,6.9,0,0,0.62,387.98,0.7,21,1.5,0,0,26.21,0,2.2,0,121.29,0,0,11.3,0,0
 36-46,0,0,0.98,0,10.68,0,63.64,0,0,0,8.99,0,0,2.28,1.67,19.99,0,0,0,5.8,4.43,0,0,4.84,910.64,0,29.22,1.14,0,0,19.25,0,4.44,0,213.49,0,0,1.18,0,0.61
 48-58,0,0,0,0,3.32,0,165.05,4,0.89,0.39,5.98,0,0,0,0,0.84,0,0,0,5.33,22.73,0,0,1.74,954.18,0,9.4,4.82,0,0,10.88,0,0,0.46,236.92,0,0,0.57,0,12.83
 60-70,0,0,0.7,0,0.76,0,640.92,0,0,1.42,26.59,0,0,0.7,1.23,0.59,0,0,1.41,0.72,16.02,0,1.39,8.61,1113.97,0.62,18.67,0,0,0,5.38,0,4.67,0,201.65,0.81,0,0,0,8.91
 72-82,0,0,0,0,13.98,4.6,1120.23,0,0.57,0.54,78.09,3.42,0,0,0.49,2.98,0.73,2.47,0,0,43.07,0,0,3.16,1142.91,0,10.99,1.44,0,0,5.72,0,1,1.06,212.03,1.33,0,2.36,0,6.63
 84-94,0,0,4.4,0,8.51,4.33,874.55,0,0,0.91,60.12,5.6,0,0,1.07,1.63,0.65,0.66,3.2,12.91,34.8,2.57,3.76,6.37,1010.24,0.67,9.23,9.39,0,0,27.15,0,0.67,0,231.37,0,0,0.61,1.75,1.11
 96-106,0,0,2.09,0,36.52,14.62,1236.57,0,0,1.69,109.94,15.04,0,5.64,0.94,4.57,0,3.92,0,3.18,35.25,1.74,0,6.72,883.01,0.62,28.69,10.64,0,0,12.72,0,2.97,0.6,67.66,2.95,5.42,16.4,3.01,3.14
108-118,6.97,0,4.14,0,11.42,4.97,1204.72,0,0,2.98,70.98,15.98,0,0,0.57,7.21,0.46,6.75,3.35,2.16,26.26,1.68,0,0.46,1513.86,0.58,6.75,9.75,0,1.97,19.85,0,0,1.22,56.22,1,2.77,7.08,1.13,6.1
120,0,0,3.9,0,26.57,5.48,921.87,0,0,0,111.38,19.39,0,1.15,3.35,3.6,0,1.07,0,1.45,26.85,0,0,2.93,1946.08,7.58,25.18,25.25,0,2.63,36.55,0,5.84,0,35.49,0,0,2.42,0,0
