stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.79,475.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0
  5-6,59.08,631.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.77,0,0,20.77,0,20.21,0,0,0,0,0,0,0,0,0
  7-9,27.92,5.95,35.37,0,0,63.16,0,0,0,0,0,0,0,0,0,0,0,0,253.6,15.62,0,122.09,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.21,17.28,0,0,21.73,0,0,0,0,4.29,0,0,0,0,0,0,0,229.51,0,0,80.32,0,0,0,17.65,0,0,0,0,0,0,0
 14-21,0,0,1,10.02,2.89,12.26,0,0,5.66,0,0,0,0,0,0,0,8.81,6.93,119.09,3.31,2,0.94,0,0,13.68,0,1.07,4.22,31.41,0,0,0,0
 24-34,0,0,0,0.91,0.66,3.46,0,0,0,3.49,0,0.92,0,0,0,0,3.36,2.07,81.12,0,0.61,0,0,0,0,0,0,0,12.99,0,0.91,0,0
 36-46,0,0,0,0.72,0,3.91,2.87,0,0.83,1.04,0,0,0,0,0,0.7,2.4,2.1,37.32,0,0,0,0,2.32,0,0,0,0.83,7.55,0,0,0,0
 48-58,0,0,0,2.05,0,7.19,0,0,1.96,0,0,0,0,0,3.58,0,5.58,1.7,18.55,0,0,0,0,0,0,0,0,0,2.77,0,0,0,0
 60-70,0,0,0,1.82,0,15.69,0,1.64,0.73,0,0,0,0,0,0,0,0.89,0,5.97,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0
 72-82,0,0,0,0,0,0.92,0,0,1.25,0,0,0,0,0,0,0,5.2,0,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.58,0,1.22,0.92,0,1.77,0,0,0,1.79,0,0,0,7.11,0,7.67,0,0,0,4.36,0,0,0,0,0,0,1.31,0,1.07,0
 96-106,0,0,0,2.6,0,2.51,0,0,4.21,0,0,0,0.58,0,0,0,5.48,1.08,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.51,0,3.28,0.65,0,11.35,0,0,0,0,0.66,0,0,3.28,0.59,21.51,0.95,0,0,0,0.42,0,0,0,0,0,0,0,0,3.15
120,0,0,0,0,0,0,0,0,11.4,0,0,0,0,0,0,0,2.03,1.13,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
