stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,66.42,0.85,0.89,0,0,1.27,25.81,0,0,0,0,0
 24-34,0.66,0.77,0,9.06,0,0,1.24,0,0.82,0,0,0,0,0,0,0,0,0.96,589.07,0,11.9,0,0.99,1.57,108.9,0,0,0,0,0
 36-46,0,0,0,101.61,0,0,21.91,0,0,0,0,0,0,0.57,7.11,0,0,0,1567.98,0,15.01,1.18,8.76,0,270.29,0,0,7.74,0,0
 48-58,0,13.83,0,291.34,0,3.49,42.55,0,0,0,0,0,0.41,0,17.26,0,0,1.73,2196.07,3.12,8.76,5.89,10.5,0,347.24,0,0,0,0,11.35
 60-70,7.65,2.75,0,603.86,0,10.71,34.03,0,0,0,0,0,0,0,5.99,5.12,0,2.96,2889.87,0,3.48,0.62,3.93,2.54,404.81,0,0,0,0,0
 72-82,0,18.47,0.57,413.72,0,0.76,39.87,0,0,4.68,0,0,0,0,18.38,0,0,1.51,2284.79,0,11.02,4.17,3.65,0,265.77,0,1.23,1.8,1.15,2.36
 84-94,1.01,13.3,2.87,300.1,0,1.1,44.69,0,0,0,0,0,0.9,2.93,23.94,0,0.72,2.45,1567.15,0,4.35,2.23,19.87,3.17,220.14,2,2.99,1.08,0,0
 96-106,1.05,14.17,12.43,242.35,0,0,57.58,1.19,0,1.98,0.94,3.46,0.62,10.78,8.12,0,0,0,1290.91,0,11.65,1.36,8.65,0,76.39,0,1.2,0,0,0.69
108-118,1.21,7.36,1.13,238.89,0.45,0.5,48.74,0.5,0,0.43,0,0.5,0,0,20.35,0,0,0,1570.19,0,10.39,4.79,3.73,0,85.18,1.29,0,0.56,1.35,0
120,0,27.05,0,259.96,5.29,0,95.74,0,0,1.69,0,0,0,0,20.08,0,0,5.04,2357.84,0,0,2.59,2.57,0,71.57,0,0,2.09,0,8.94
