stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle
  3-4,39.24,200.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,77.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.85,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.33,0,0,0,7.98,0,4.05,0,0,0,0,0,0,0
 14-21,0,0,1.69,0,113.43,1.14,0,0,0,0,0,0,2.93,0,0,0.97,0,0,5.87,1.77,0,3.4,4.01,0,0,1.09,0,0,3.86,3.93,1.79,2.09,7.91,1.59,0,0
 24-34,0,0,0,0,1.84,1.04,0,0,0.95,0,0,0,0.69,0.67,3.6,2.17,0,0,0,0,0,7.44,23.39,3.17,0,0.76,0,0,9.4,0,0.88,1.27,1.73,3.43,0,0
 36-46,0,0,0,0,0.55,0,0,0,5.57,1.04,0,0.63,0.56,0,1.46,1.22,0,0,0,0,0,1.81,42.42,0,0.73,0,0,0,9.15,0,0,1.98,0,12.94,0,0
 48-58,0,0,0,0,2.69,0,0,8.7,1.47,0,0.47,0.83,4.55,0,0,0.37,0,0.45,1.73,1.45,0,1.66,68.99,0,4.25,0,0,0,18.12,0,0,3.79,0,3.4,0,0
 60-70,0,0,0,0,0,0,0,20.2,4.1,0,0,4.74,0,0,0,0,0,0,0,7.76,0,0,147.32,0,0.84,10.41,0,0,10.6,0,0,3.25,0,12.12,0,0
 72-82,0,0,0,0,2.35,0,0,25.16,0,0,0.68,7.9,0,0,0,1.96,0,0.79,1.79,1.22,0,0,157.08,0,2.32,2.39,0,0,9.98,0,0,0,0,13.64,2.62,0.85
 84-94,0,0,0,0,6.34,0,0,64.91,0,0,0,2.43,2.76,0,0,1.02,0,0,0,5.1,0.86,1.64,100.82,0,2.95,0,0,0,32.19,0,0.67,1.3,0,4.09,1.01,0
 96-106,0,0,0,0,16.8,0,0,45.31,0.58,0,0,9.91,0,0,0,15.09,0,0.69,9.08,5.3,0.78,0,129.4,0,2.18,1.13,0,1.51,35.08,0,0,5.1,0,2.6,0,0
108-118,0,0,0,0,59.9,0,6.8,50.68,2.14,1.68,0,9.92,4.17,0,28.37,16.96,4.56,0,7.29,13.3,9.73,6.37,140.83,0,0.79,0.63,0,0,175.72,0,1.06,0,0,0,3.03,0
120,0,0,3.99,0,124.18,0,0,11.83,1.54,0,0,8.1,0,0,55.3,12.5,0,9.45,0,20.21,0,0,241.69,0,13.12,0,0,0,101.23,0,0,2.35,0,19.86,0,0
