stage,axial,blastomeres,endocrine_pancreas,endoderm,eye,glial,lateral_line,mesenchyme,muscle,neural,olfactory,presomitic_mesoderm,pronephros,spinal_cord
  3-4,13.05,26.66,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,50.06,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.42,0,0,0,0,0,12.15,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,20.37,0,0,11.67,0
 14-21,0,0,0,0,0,0,0,0,0,0.9,0,1.14,0,0
 24-34,0,0,0,0,0,0,0,0,0,4.81,0,0,0,0.94
 36-46,0,0,0,0,0,0,0,0.7,0,7.14,0,0,0,0.63
 48-58,0,0,0.44,0,1.54,0.98,0,0,0,11.2,0,0,0,2.43
 60-70,0,0,0,0,2.14,0.58,0,0,0,9.86,1.82,0,0,11.02
 72-82,0,0,0,0,3.42,0,0,4.32,0.83,15.07,0,0,0,2.98
 84-94,0,0,0,0,0.87,0.64,0.66,3.28,0,8.94,0,0,0,6.85
 96-106,0,0,0,0,1.43,0,0,10.86,1.26,10.65,0,0,0,1.91
108-118,0,0,0,0,0.82,0,0,5.79,0,28.29,0,0,0,0
120,1.12,0,0,0,0,0,0,0,0,22.5,0,0,0,0
