stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,246.52,3588.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.84,0,0,0,0,0,0,0,0,0,0
  5-6,510.32,7257.6,0,18.17,0,0,0,0,0,0,0,28.56,0,0,0,0,0,0,0,0,0,0,0,119.05,31.69,0,0,38.31,0,106.94,0,0,0,0,0,0,0,0,0,0
  7-9,153.13,109.47,0,146.66,0,0,375.33,0,0,0,0,113.2,0,0,0,0,0,0,0,0,0,0,0,3507.31,98.09,0,0,1097.74,0,4.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,65.06,0,120.44,0,4.67,204.59,0,0,0,0,8.54,0,0,0,0,0,10.63,0,0,0,0,0,2220.82,39.82,0,0,791.85,0,3.81,4.37,8.92,96.5,0,0,0,0,0,0,0
 14-21,0,0,0,1.07,27.11,7.95,9.64,0,0,15.19,2.28,0,0,0,0,0,0,0,0,19.05,0,0,17.12,285.33,5.18,4.28,2.54,9.69,0,1.01,2.44,32.44,13.04,0,15.47,114.93,0,0.9,0,0
 24-34,0,0,0,1.5,14.02,0.83,45.61,0.72,0,14.32,0,0,0.67,0.69,0.68,0,0.71,0.65,0,32.34,0.86,0,15.05,568.07,0,6.13,2.55,0,0,0.61,0,0,67.28,0,4.78,128.22,0,5.8,0,0
 36-46,0,0,0,0,2.54,0.6,103.2,0,0,20.57,0,0,0.73,0,0,3.69,0,0,0,36.91,0,0,10.47,652.71,0,7.06,0.9,0,0,2.94,0,2.9,49.64,0,0,110.42,0.85,1.26,0,0
 48-58,0,0,0,0,11.41,0,149.37,0,0.86,39.04,0,0,0.69,0.56,0,0,1.25,0,0,55.67,0,1.56,4.97,582.65,1.93,7.64,1.19,0,0.56,0,0,0,4.16,0,0,112.68,0,1.07,0,7.33
 60-70,0,0,0,0,0,0,217.66,1.18,0,24.56,0,0,0,0,0,0.93,1.13,0,0,57.07,0,0.89,4.77,603.59,0,12.9,0,0,0,6.97,0,0,0,0,0,74.19,0,0.75,0.64,0
 72-82,0,0,0,0,4.91,0.51,130.33,3.46,2.15,27.79,1.28,0,2.03,0,0,0,0,0,0,92.81,0,5.89,7.95,338.34,0,3.05,0.54,0,0,4.84,0,0,0,0,0,51.34,0,0.51,0.51,0
 84-94,0,0,0,0,6.35,0,153.71,0,4.37,20.24,0,0,0,0,1.29,1.31,4.31,0,0,54.43,0,2.04,10.05,245.62,0,2.75,0.67,0,0,1.1,0,0,1.09,0,0,22.93,0,3.43,0.74,0
 96-106,0,0,0,0,2.84,1,95.5,0,2.11,44.16,0,0,0.73,0,0,0,0,0,0.6,34.79,0,0.7,3.09,249.14,0,6.49,2.1,0,0,5.11,0,0,0.82,0,0,13.83,0,1.32,4.41,2.2
108-118,0,0,0.77,0,4.38,1.18,93.77,1.43,0.89,27.07,0,0,0,0,0,1.63,0.62,2.41,0,51.17,0,0,5.35,217.46,0,3.01,3.92,0,0,2.18,0,0,2.63,1.08,0,15.38,0,0.57,2.34,0
120,0,0,0,0,0,2.43,102.43,0,0,24.4,3.77,0,0,0,0,3.04,0,5,0,54.49,0,6.81,0,226.64,1.45,0,0,0,0,3.44,0,0,0,0,0,1.75,0,0,0,0
