stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,56.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,102.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.47,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0
  7-9,4.37,7.47,0,35.22,0,0,0,19.55,0,0,0,0,18.17,0,0,0,0,0,0,137.32,26.81,0,0,45.7,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.14,0,7.21,0,0,0,0,0,0,0,0,0,0,0,107.3,0,0,0,39.71,0,0,14.56,0,8.02,0,5.32,0,0,0
 14-21,0,0,0,0,1.88,0,0,2.23,0,0,0.89,0,0,0,0,0,5.42,0,3.65,48.3,0,0,0.86,0,0,0,2.02,1.7,0,4.21,11.95,0,0,0
 24-34,0,0,0,0.59,0,0,0,7.76,0,0,0,1.08,0,0,0,0,0,0,0.88,33.58,0,0,0,0,0,0,0,0,0,0.63,12.63,0,2.65,0
 36-46,0,0,0,0,0,0,0,5.19,0,0,0,0,0,0,0,0,4.74,0,0,30.25,0,0,1.23,0,0,2.32,0,0,0,0,7.51,0,0.75,0
 48-58,0,0,0,0,0.43,0,0,2.6,0,0,0.98,0,0,0,0,1.04,9.66,0,0.78,24.72,0,0,0.44,0,0,0.49,0,0,0,0,4.62,0,0,0
 60-70,0,0,0,0,0,0,0,12.95,0,0,1.96,0,0,0,0,0,21.66,0,0,12.1,0,0,0,0,0,0,0,0,0,0,1.46,0,0,0
 72-82,0,0,1.4,0,0.61,0,1.92,13.97,0,0,10.09,0,0,0.52,0,0,42.46,0,0,12.83,0,0,0,0,0,0,0,0,0,0,3.31,0,0,3.22
 84-94,0,0,0,0,1.12,0,4.88,1.85,0,2.46,0.69,0,0,0,0.62,0,36.03,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.46,0,0,1.77,0.56,0,13.07,0.9,0,0,0.75,0,31.86,0,0,11.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,17.46,0,1.63,0,0.44,0,0,1.02,1.77,1.28,0,1.48,3.17,0,47.14,1.46,0,12.02,0,0.59,0.67,0,0,4.69,0,0,0,0,0,0,0.45,0
120,0,0,0,0,0,0,0,1.68,0,8.58,10.42,1.73,0,0,0,0,49.7,0,0,11.28,0,0,8.73,0,2.67,8.25,0,0,0,0,0,3.65,2.7,0
