stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,mesenchyme,muscle,neural,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,18.64,0,0,0,0
 14-21,1.03,1.6,0,0,0,0,0,1.34,0,2.16,0.83,2.98,0,0
 24-34,1.23,0,0,0,0,0,0,0,1.03,8.62,0,0,1.74,0
 36-46,0,0,0,0,0,0,0,2.44,1.84,5.02,0,0,1.86,0
 48-58,0,6.58,0,0,0.6,0,0,4.22,1.6,8.72,0,0,0.72,0
 60-70,0,19.1,0,0.86,0,0,0,1.56,0,6.89,0,0,0,0
 72-82,0,23.25,0,0,0,0,0,4.41,1.27,6.11,0,0,0,0.52
 84-94,0,20.62,0,1.32,0,0,0.69,1.16,0,11.48,0,0,0,0
 96-106,0,21.69,0,3.66,0,0,0,2.51,0,0,0,0,0,0
108-118,0,9.48,0.52,0,0,0,0,0,0,3.01,0,0,0,0
120,0,36.38,0,0,0,13.26,0,0,0,0,0,0,0,0
