stage,blastomeres,eye,fast_muscle,glial,immune,iridophores,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste
  5-6,18.43,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.09,0,0,0
 10-12,0,0,0,0,0,0,0,15.87,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.65,66.64,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.44,80.2,0,0,2.71,0
 60-70,0,0,0,0.73,0,0,0,1.9,1.17,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,29.74,0,0,0,0
 84-94,0,0,0,0,0,0,0,7.47,174.27,0,0,0,0
 96-106,0,3.22,0,1.76,19.58,0,0,0,29.71,0,5.02,0,0
108-118,0,0,0.68,0,0,0,1.97,1.23,18.68,0,0,0,0.75
120,0,0,0,0,0,11.36,0,0,188.71,0,0,0,0
