stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,38.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,1.37,3.64,0,0,0,0,0,0,0,0,3.91,6.22,4.77,0,0,0,0,0
 24-34,0,0,0,561.05,0.71,0,13.55,0,1794.16,342.84,11.12,2.64,0,2.45,1.56,0.59,0,3.39,0,6.15,17.56,36.91,0,12.91,258.94,0,3.54,0.63,0,0.99,17.56,0,1.3,2.14,6.32,36.14,0,0,3.64,0,0.6
 36-46,0,0,0,896.17,0,0,114.7,1.94,14249.49,2547.01,19.73,1.39,0,2.82,13.45,0,0,0.61,0.93,12.87,60.82,10.94,5.91,109.72,544.83,3.99,1.49,1.22,0,0,45.39,0,0.72,0,0,121.3,0,0,9.84,0,4.99
 48-58,0,0,0,750.05,5.11,0,378.59,0,18664.34,9244.25,96.69,1.64,0.54,2.02,5.86,0.55,6.29,0.43,2.19,42.28,178.06,35.2,1.79,127.54,1171.05,4.32,3.81,3.95,0,0,96.8,0.92,0.47,9.32,0,180.8,0,0,12.93,0,61.39
 60-70,0,0,0,589.23,2.92,0,383.91,1.19,19981.51,16002.96,61.06,1.78,0,9.99,3.78,0,8.93,1.61,10,7.55,156.94,21.07,2.03,244.06,644.79,11.06,0,1.03,0,0,237.3,0,53.64,0,0,126.81,2.44,4.15,24.5,0,58.69
 72-82,0,0.76,0,607.4,37.6,2.51,947.52,1.29,27361.86,30050.56,123.92,51.93,0,7.9,5.63,0.61,5.84,8.63,10.09,4.12,503.17,15.38,12.47,749.41,1290.59,29.92,65.63,10.97,0,3.34,554.9,0,2.19,1.5,0,88.58,3.06,1.49,44.86,60.14,81.4
 84-94,0,0,0,1223.41,41.31,0,1087.75,0,40305.19,20774.54,181.62,66.29,0,28.28,31.84,2,53.51,4.26,5.05,10.29,477.16,33.75,15.42,458.79,644.19,6.35,3.41,12.91,0,2.53,611.96,0,3.45,2.25,0,50.24,178.77,1.85,12.01,65.25,6.78
 96-106,0,6.12,57.51,1310.16,175.96,21.97,1297.22,24.23,45841.41,27090.54,193.68,33.94,0,6.7,58.25,13.53,6.45,42.3,73.59,0,818.07,13.77,22.66,108.55,1470.79,35.06,25.51,23.26,0,8.33,1374.41,0,0,1.18,0,33.27,8.26,12.02,107.15,55.07,25.44
108-118,5.05,3.21,0.74,1162.73,84.47,26.21,605.88,11.21,59829.09,20352.18,169.34,61.14,0,6.51,35.34,8.49,6.64,24.75,23.51,7.98,842.59,72.18,11.99,321.28,1294.81,15.36,14.63,17.16,0,18.46,1007.41,0,8.36,0.43,0,56.61,11.37,16.21,38.65,1.93,39.8
120,2.31,0,1.66,982.27,86.03,17.55,402.53,0,31043.08,17700.48,223.41,60.16,0,1.54,11.25,1.72,16.01,7.03,35.4,0,632.11,11.92,48.13,380,974.65,6.96,23.3,5.33,0,0,545.91,0,16.38,0,0,0,24.34,14.17,29.88,9.56,0
