stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,196.92,6347.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.25,0,0,0,0,0,0,0,0,0,0
  5-6,563.71,8033.89,0,20.75,0,0,0,0,0,0,0,0,50.2,0,0,0,0,0,0,0,0,0,0,225.53,29.94,0,0,89.77,140.12,0,0,0,0,0,0,0,0,0,0
  7-9,150.09,154.88,0,175.28,0,0,470.72,0,0,0,0,0,213.25,0,0,0,0,0,0,0,0,0,0,3864.14,95.78,0,0,1181.94,9.39,69.6,0,9.82,0,0,0,0,0,0,0
 10-12,0,84.12,0,86,0,0,192.55,0,0,0,0,0,17.82,0,0,0,0,0,0,0,0,0,0,1842.99,41.02,0,0,551.41,8.29,0,0,75.81,0,0,0,0,0,0,0
 14-21,0,0,1.07,0,16.25,0,3.81,0,0,0,6.17,1.58,0,0,2.27,0,0,0,0,2.72,0,0,6.21,125.64,5.84,1.07,0,6.75,0,0.9,11.35,0,0,6.71,42.95,0,0,0,0
 24-34,0,0,0,0,3.07,0,23.31,0,0,0,1.8,0,0,0,0,0,0,0,0.86,22.72,0,0,7.71,300.08,0,2.49,2.59,0,4.51,0,0,0,0.61,1.43,37.11,0,5.49,0,0
 36-46,0,0,0,0,0,0,57.88,0,0,0,2.1,0,0,0,0,0,0,0,0,22.43,0,0,2.15,296.84,1.22,0.59,0.57,0,0.89,0,0,0,0,0,45.6,0,8.05,0,0
 48-58,0,0,0,0,2.47,0,81.07,0,4.01,0,11.84,0,0,0,0,0,0,0,0,19.24,0.42,0,1.87,262.58,0,0,0.46,0,0,0,0,0,0,0,30,0,2.8,0,0.85
 60-70,0,0,0,0,4.75,0,78.26,0,0,0,14.71,0,0,0.7,1.12,0,0,0,0,16.34,0,0,1.33,197.96,0,0,2.6,0,2.54,0,0,0,0,0,26.77,0,0.63,0,0
 72-82,0,0,0,0,0.65,0,88.23,0.59,2.76,0,4.5,0,0,1.5,0,0,9.12,0.61,0,23.58,0,0.55,0.71,146.17,1.8,3.32,0.71,0,0,0,0,0,0,0,20.44,0,0.6,0,0
 84-94,0,0,0,0,3.69,5.95,42.85,0,0,0,3.1,0.59,0,0,2.21,0,1.13,0,0,11.72,0,0.57,0.98,75.16,0,0,0.83,0,3.74,0,0,0,0,0,2.69,0,3.89,0.74,0
 96-106,0,0,0,0,0.6,0,29.91,0,0,0,11.73,2.39,0,0,1,0.61,0,3.74,0,17.53,0,4.27,0.81,48.97,0,0,0.62,0,1.54,0,0,0,0,0,0,2.14,0,0,0
108-118,0,0,0,0,5.88,0,33.3,0,0,0.89,6,0,0,0,0,0,0,0,0,14.16,0,0,1,85.1,0,0.47,3.84,0,0.97,0,0,0,0,0,3.11,1.06,2.29,1.29,0
120,0,0,0,0,4.63,0,79.35,0,0,1.88,8.31,0,0,0,2.27,0,0,0,0,21.48,0,0,0,159.26,0,0,2.87,0,0,0,0,0,0,0,0,0,5.34,0,0
