stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,29.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,11.17,0,0,0,0,0,0,0,0,0,0,0,32.18,20.22,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.85,0,0,0,3.88,0,0,0,0,0,0,0,45.49,0,0,0,4.4,0,0,0,0,0,0,0
 14-21,0,0,2.34,4.81,4.51,5.99,0,20.17,0,0.82,0,0,0,0,7.59,0,0,73.23,1.57,1,14.16,2.07,0,3.87,11.95,2.94,67.82,0,0
 24-34,0,0,0,0,0,0.69,1.45,31.9,0,0,0,0,0,0,1.33,0,2.28,24.07,0.75,3.56,0,0,0,0,1.91,0,36.79,0,0
 36-46,0,0,0,1.03,0,10.67,0,11.29,0.61,0,0.93,0,0,0,0.68,0,0,50.16,0,13.23,2.83,0,0,0,5.63,0,31.12,0.85,0
 48-58,0,0,0,0,0,8.62,0,6.39,0,0,0,0,0,0.39,3.03,0.55,0,26.29,0,8.26,0.41,0,0,0,0,0,24.85,0,0
 60-70,0,0,0,0,0,8.1,0,6.39,0,0,0,0,1.94,0,1.29,0,0,24.85,0,2.86,1.69,0,0,0,0,0,24.03,0,0
 72-82,0,0.56,0,0,0.51,3.38,0,15.12,0,0,0,0,1.13,0,2.37,0,0.81,14.76,0,8.45,2.18,0,0.7,0,0,0,6.86,0,0
 84-94,0,0,0,0,0,1.65,0,4.62,0,0,0,0,0.58,0,0,2.26,0,3.17,0,14.56,2.92,0,0,0,0,0,6.84,0,0
 96-106,0,0,0,1.24,1.19,2.98,0,4.51,0,0,0,0,0.71,0,1.79,0,0,7.3,0,3.9,8.71,0,0.58,0,0,0,14.24,0,0.93
108-118,0,0,0,0,0,0,0,5.58,0,0,0,2.47,2.38,0.44,4.56,0,0,14.48,0,7.28,11.2,0,0,0,1.76,0,4.21,0,0
120,0,0,0,0,0,9.86,0,2.95,1.31,0,0,0,4.83,0,2.86,0,2.15,6.36,0,15.47,7.62,0,1.63,0,19.74,0,0,0,0
