stage,epidermis,gut,immune,ionocyte,mesenchyme,periderm
 24-34,0,0,0,0,0,1.01
 60-70,1.8,0,3.06,0,0,0
 72-82,0,0,4.25,0,0,0
 84-94,0,0,0,0.74,0,5.31
 96-106,0,0.93,0.73,0,2.19,0
108-118,0,0,2.88,0,0,2.22
120,0,0,10.6,0,0,0
