stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3.41,22.84,84.14,53.24,0,64.02,0,0.85,0,9.28,15.66,0,4.67,0,16.15,0,0,47.15,1.8,51.21,1.16,0,43.5,686.3,90.59,2.69,11.8,17.47,0,34.81,2.35,84.91,13.73,9.66,92.13,183.1,0,0,2.86,0,0
 24-34,0.83,10.62,11.56,18.06,9.08,0,80.14,0,0,1.5,16.7,2.08,0,3.83,5.74,12.63,3.2,0.65,37.42,2.06,53.53,0.71,0,37.67,716.38,6.57,31.09,3.78,0,0.99,37.81,0,0.85,9.57,2.3,13.19,150.51,0,0,13.08,0,4.39
 36-46,0,3.08,0,7.92,2.11,0,67.66,0,0,5.48,7.15,0.57,0,0.88,1.8,1.65,8.03,0.61,3.83,0.89,44.9,0.66,0.8,12.54,596.13,4.04,6.17,5.66,0,0,23.47,0,0,1.02,0,0.8,105.49,0,0,9.95,0,4.57
 48-58,0,2.89,0.61,3.31,8.57,0,147.92,1.96,0,6.7,35.91,3.6,0.54,1.63,1.76,3.16,3.05,2,1.92,1.12,77.89,0,1.31,15.41,673.42,1.54,17.49,1,0,0,12.91,0,0,8.68,2.46,0,96.39,0,0.89,4.08,0,22.45
 60-70,0,7.39,0,7.77,5,0,201.15,4.48,1.49,2.82,55.57,4.82,0,1.47,4.62,0.56,23.29,0,6.23,11.82,79.15,0,5.78,26.13,941.35,0.75,0,0,0,0,42.98,0,0,9.73,1.33,0,114.73,0,2.57,2.81,0,3.36
 72-82,0,19.85,0,11.66,11.92,0,326.49,2.53,1.43,12.08,58.43,3.89,0,1.42,1.49,2.8,0,0.56,16.37,0,142.24,2.59,3.44,8.78,1153.05,0,11.42,5.13,0,2.17,23.44,0,0,1.23,0,0,120.14,1.47,2.91,2.92,4.91,8.11
 84-94,0,2.74,1,32.57,22.75,0.59,260.76,0,3.47,6.74,37.64,12.66,1.22,0,5.94,6.49,5.9,3.89,3.9,9.01,96.11,0,3.72,13.67,695.18,1.37,8.81,5.79,0,1.01,37.93,0,0,2.89,0.63,0,82.11,2,2.41,7.98,4.35,9.47
 96-106,0,9.95,0,29.69,12.25,3.52,254.33,0.73,4.5,6.5,77.1,25.85,0,1.46,3.78,5.64,2.14,1.72,16.3,0,144.62,0,6.89,11.76,711.15,2.81,10.96,10.76,0,0,46.98,0,0,1.88,0.7,0,50.18,4.9,0.72,21.52,9.52,18.81
108-118,0,11.13,0.74,41.21,6.29,1.2,250.9,9.34,5.68,8.34,81.85,14.15,0,2.87,8.12,4.77,4.51,7.52,17.97,2.16,114.03,3.69,7.42,14.57,988.76,2.01,6.19,9.95,0,5.31,35.99,0,0,4.93,1.5,0,21.6,3.84,1.31,11.51,5.76,5.65
120,0,30.59,1.66,24.5,19.13,2.96,167.62,0,11.78,1.69,107.47,37.73,0,2.63,15.26,3.64,2.23,0,3.06,0,129.81,0,0,8.43,1253.93,7.45,3.81,21.63,0,30.88,55.51,0,0,10.23,0,0,76.85,1.99,8,14.19,0,0
