stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,10.66,115.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.05,275.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.13,7.03,0,0,0,0,0,0,0
  7-9,0,0,0,7.7,0,0,0,0,0,0,5.92,0,0,0,0,0,71.89,3.62,0,27.66,0,0,0,0,0
 10-12,0,9.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.13,0,0,32.03,0,0,0,0,0
 14-21,0,0,0,0,2,2.05,0,0,0,0,0,0,0,1.87,0,0,25.17,0,0,0,7.55,0.83,2.17,4.23,0
 24-34,0,0,0,0,0,0,0,0,0,0.83,0,0,0,2.22,0,1.74,20.18,0,0,0,0,0,0,3.35,0
 36-46,0,0,0,0,0,16.36,0,0,0,1.95,0,0,0,0,0,0,18.25,0,0,0,0,0,0,3.48,0
 48-58,0,0,0,0,0,5.27,0,0,0,0.8,0,0,0,3.88,0,0.56,11.24,0,0.43,0,0,0,0,4.34,0
 60-70,0,0,0,0,0,3.16,0,1.33,0,3.32,0,0,0,3.86,7.19,0.58,3.17,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0.64,1.82,0,0,6.27,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0.58,0,0,0,2.5,0,0,0,3.5,0,1.04,1.4,0,0,0,0,0,0,0,0
 96-106,0,0,0.61,0,0,0,0,0,1.39,1.5,0,0.84,0,2.98,0,0.81,0,0,0,0,0,0,0,4.46,1.12
108-118,0,0,0,0,0,0,3.42,0,0,2.19,0,0,0,6.91,0,0,2.6,0,0,0,0,0,0,0,0
