stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.25,390.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.24,0,0,0,0,0,0,0,0,0,0
  5-6,17.99,390.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.87,12.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.39,15.4,0,29.19,0,0,0,90.8,0,0,0,0,0,17.02,0,0,0,0,0,0,0,0,0,0,0,929.41,21.95,0,0,312.85,0,3.63,13.69,0,0,0,0,0,0,0,0,0
 10-12,0,42.57,0,81.77,0,13.9,0,138.24,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1140.94,27.54,0,0,317.89,0,0,15.9,0,54.85,9.07,0,0,0,0,0,0
 14-21,0,0,1.69,6.96,25.3,5.34,0,26.07,0,0,0,6.88,3.11,0.98,0,0,0,0,0,0,0,18.25,0,0,24.9,318.31,10.16,0.95,1.97,7.72,0,9.91,0,23.14,3.36,27.16,79.82,0,0,1.23,0,0
 24-34,0,0,0,0,9.84,3.31,0,89.84,0,0,0,17.47,1.69,0,4.63,0,0,0,0.79,0.6,0,66.64,0,0.81,27.9,663.26,3.05,2.27,5.61,0,0,23.12,0,0,0.83,3.96,136.52,0,0,8.64,0,0.77
 36-46,0,0,0,0,15.18,0.73,0,116.33,0,0.74,1.91,9.5,1.33,0,2.14,0.65,0,7.94,0,9.32,4.83,60.54,1.18,0,17.1,442.72,0,4.37,6.99,0,0,8.02,0,0,1.03,0,80.29,0,0,4.34,0,1.02
 48-58,0,0,0,0.43,14.08,1.11,0,144.55,0.8,0.55,1.5,22.25,4.49,0,0.81,0.57,4.37,0.91,1.08,0,0.41,68.41,0,1.93,18.15,266.97,0.42,0.84,2.79,0,0,6.85,0,0,0,0,60.41,0,0,8.81,0,1.44
 60-70,0,0,0,0,5.75,0.64,0,151.73,0,0,1.94,31.1,1.56,0,1.25,10.68,0,0,0,0,2.64,70.04,0,6.29,14.16,147.86,1.17,3.38,4.45,0,0,0.67,0,0,0,0,18.76,0,0,4.43,0,0
 72-82,0,0,0,0,0,4.39,0,111.62,0,4.53,2.34,34.44,5.85,0,3.18,7.88,1.55,0,0.56,0,0,60.24,1.34,4.31,9.76,186.55,0.5,4.41,3.08,0,2.42,7.07,0,0,0,0,21.64,0,0.52,13.55,5.21,1.14
 84-94,0,0,0,0,11.81,10.19,0,55.52,0.91,0.66,1.8,21.17,5.26,0,0,0.93,0.56,0,1.32,2.18,8.1,76.5,5.4,11.32,11.04,136.01,2.44,1.97,1.61,0,0,10.18,0,0,1.3,0,11.63,8.29,9.39,12.33,0.67,0
 96-106,0,0,1.43,0,6.83,11.77,0.8,68.22,0,0.61,5.89,23.73,2.03,0,6.17,5.72,0.66,3.55,1.48,2.95,1.31,60.92,0,3.49,5.95,135.89,0,7.18,2.1,0,4.27,19.55,2.06,0,0,0,1.71,0,0,19.44,1.02,0.62
108-118,0,0,0,0,10.94,3,0.45,86.61,1.42,4.33,3.61,39.64,2.98,0,0,3.87,1.75,3.13,0.58,0.9,1.77,86.11,7.12,0.71,8.81,169.82,2.91,3.5,6.54,0,4.04,21.11,0,0,0.48,0,9.73,1.56,0.53,9.36,0.57,1.86
120,0,0,0,0,15.57,18.28,0,83.14,0,0,14.6,56.04,5.19,0,0,14.92,2.58,1.25,2.19,0,4.7,134.28,0,0,8.56,143.65,0,0,4.64,0,0,11.45,0,0,3.93,0,8.26,2.25,0,0,7.33,0
