stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.52,111.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.81,174.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,0,15.84,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,12.75,0,9.66,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.65,20.15,0,0,136.12,8.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,35.29,0,46.01,0,0,35.92,0,0,0,0,14.74,0,0,0,0,0,0,0,0,0,0,398.81,15.64,0,0,109.52,0,9.34,0,21.78,0,0,0,0,0,0,0
 14-21,0,0,1.05,0,7.15,0.81,2.12,0,0,0,0.96,0,0,0,0,0,0,0,4.1,0,0,3.66,53.54,1.08,0,0.93,0,0,0,2.01,1.71,3.7,15.09,0,0,0,0,0
 24-34,0,0,0,1.44,1.98,0,9.13,0,0,0.61,2.19,0,0,0,2.36,0,0,0,11.55,0,0,3.22,127.53,0,0.98,0,0,0.97,0,0,0.84,0.84,29.84,0,0,1.24,0,0
 36-46,0,0,0,0,3.45,0,12.46,0,0,5.67,0,0,0,0,0,0,0,0,7.84,0,0,4.9,119.95,0,1.91,2.7,0,6.83,0,0,0,0,27.32,0,0,1.83,0,0
 48-58,0,0,0,0,3.03,0,26.92,0,0,8.59,0,0,0,3.44,0,3.97,0,0,21.1,0,0,1.84,88.9,0.55,0,0,0,0.79,0,0,0,0,20.55,0,0,3.38,0,0
 60-70,0,0,0,0,2.2,0,57.38,0,0.67,14.87,0,0,3,0,0,0,0,0,12.59,0,0,8.96,77.46,0,2.11,1.97,0,0,0,0,0,0,16.1,0,0,0,0,0
 72-82,0,0,0,0,0.67,4.23,25.91,0,0,6.1,0,0,1.08,2.39,0.55,0,0,0,18.85,0,0.62,0.49,54.32,0,0,4.41,0,3.92,0,0,0,0,6.95,0,0,4.24,1.55,0
 84-94,0,0,0,0,0.88,7.76,37.46,0,0,12.59,1.04,0,0,0.74,0.99,0,0,0.58,17.11,0,0,0.57,52.04,0,2.19,0,0,3.91,0,0,0.8,0,6.61,1.06,0,3.04,0,0
 96-106,0,0,0,0,1.23,8.34,24.35,0.56,3.05,8.97,0,0,0,1.77,0,0,3.77,1.3,20.89,1.85,0,0,31.93,0,0,0,0,4.51,0,0,0,0,1.98,0,2.23,0.84,0,0
108-118,0,0,0,0,4.92,0,24.4,0,0,2.64,0.81,0,0,0,0.67,0.64,0,0,16.53,0.94,6.57,0,54.63,0.63,0.6,1.38,0,2,0,0,0,0,1.18,0.71,0,1.06,0,1.39
120,0,0,0,0,1.43,0,13.62,0,0,18.6,0,0,0,0,0,0,0,0,2.57,0,0,1.03,66.66,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0
