stage,epidermis,exocrine_pancreas,eye,immune,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,16.44,0,4.12,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.18,3.7
 24-34,2.23,0,0,0,0,0.81,0,0,0,2.58,4.06
 36-46,1.82,0,0,0,1.68,3.54,0,0,0,1.28,0
 48-58,0,0,0,0,0,2.41,0,0,0,2.28,0
 60-70,0,0,0,0,0,1.88,0,0,1.46,0,0
 72-82,0,0,0.91,3.14,0,1.67,0,0,0,0,0
 84-94,0,0.92,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.59,0,0,0,1.1,0,0
108-118,1.64,0,0,0,0,0,0.48,0,0,0,0
120,0,0,0,1.42,1.07,0,0,0,0,0,0
