stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,8.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.16,0,0,0,12.94,0,0,0,0,0,0,0,0,0,0
 14-21,0.84,3.85,0.94,0,3.67,0,0,0,0.98,0,0,0,0,0,0,1.96,0,0,3.81,37.21,0,0,0,1.12,0,0,0,2.99,14.98,0,0,0,0,0
 24-34,0,2.28,0,0,2.88,0,0,0,1.06,0,0,0,0,0,0,3.33,0,0,0.97,230.82,0,0,0,0,0,0,8.94,0,138.45,0,0,0,0,0
 36-46,0,0,0,0,4.18,0,0,0.82,1.57,0,0,0,0,0,0,2.88,0,0,0,605.21,0,0,0,0,0,0.58,0,0,259.69,0,0,0,0,3.61
 48-58,0,7.49,0,0,78.08,0.46,0,0,17.57,0,0.66,0,0,0,1.84,7.43,0,0.7,3.5,1361.66,0.69,0.6,0,0,0,0,0,0,301.51,0,0,2.1,0,0.63
 60-70,0,0,0,0,165.27,1.62,3.05,0.57,14.79,0,0,0,0,1.16,0,4.41,0,0.88,0,2536.32,0,0,0.76,0,0,4.21,0,0,475.18,0,0,1.05,0,11.12
 72-82,0,4.72,0.95,0,373.44,2.09,1.43,0,26.56,1.68,0,0.68,0,0,0,19.75,0,0,0.72,2536.27,0,0.67,1.29,0,0,0.59,0,0,406.44,1.21,0,0.65,0,2.76
 84-94,0,11.79,0,0,241.27,0,0,0,36.21,0.9,0,0.68,0.55,0,0,13.11,0,1.44,9.91,1785.62,0,0,3.1,0,0,8.13,0,0,230.83,0,0,0.69,0,9.97
 96-106,0,9.4,0,0.98,275.61,2.85,1,0,86.11,0.86,0,0.78,0,0,11.09,14.08,3.92,0,1.92,1722.52,0,0.57,1.75,0,0,18.73,0,0,163.83,0,1.21,0.7,5.31,0
108-118,0,24.76,0.69,0,201.22,18.92,1,0.47,150.36,0.43,0,0.98,3.81,0,5.45,16.84,1.14,0,2.32,1654.97,0,0,0,0,2.45,0.45,3.18,0,126.14,4.06,0,3.22,0.68,0
120,1.28,17.49,0,0,291.99,1.44,0,0,372.69,0,0,13.26,0,8.53,2.74,35.09,0,13.12,8.74,2558.38,0,2,0,0,0,3.84,0,0,180.24,0,0,0,0,0
