stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,106.52,2410.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.6,0,0,0,0,0,0,0,0
  5-6,59.53,712.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.91,0,0,0,0,9.69,0,0,0,0,0,0,0,0
  7-9,5.02,6.59,0,7.51,0,0,0,19.5,0,0,0,0,0,14.2,0,0,0,0,0,0,0,0,0,0,201.97,9.63,0,0,51.26,0,5.5,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.96,13.31,0,0,23.06,0,0,9.68,0,0,0,0,0,0
 14-21,0.93,0,1.69,5.85,9.2,1.23,0,0,0,0,0,0,4.2,0,0,0,16.12,0,0,16.55,1.63,4.12,0,0,29.71,0,24.31,1.81,0,0,0.9,0,0.92,2.08,0,0,0,0
 24-34,0,0,0,14.95,3.64,0,0,0.61,0,0,0,0,8.65,0.74,0,0,64.43,0,0,34.16,0.9,68.12,0,0,79.49,0,36.58,2.05,0,1.01,0,5.08,0,8.01,0,1.38,0,0
 36-46,0,0,0,3.28,3.33,0,0,3.77,0,0,0,0.58,14.71,0,0.65,0.56,25.06,0,0,42.03,2.88,83.45,0,0,102.58,0,24.3,0,0,1.55,0.81,5.29,0,3.36,0,0,0,0
 48-58,0,0,1.26,0.7,6.61,0,0,7.9,0,0.39,0,1.25,69.73,13.65,0,0,35.58,0,0,7.73,0.51,75.8,0,0,71.26,0,22.68,0,0,0.46,0,4.41,0,2.03,0,0,0,4.1
 60-70,0,0,4.11,0,8.52,0,1.82,21.28,0,1.24,0,8.7,68.74,4.91,0,0,0,0,0,23.81,3.55,54.9,7.19,0,66.4,0,21.84,0.63,0,0,0,9.47,0,3.34,3.37,0,0,0
 72-82,0,0,23.41,0,5.89,0,6.08,10.23,0,11.39,1.7,2.9,258.09,1.15,0,0.91,9.43,0,0,14.45,8.18,89.76,0,0.97,42.94,0,20.71,0,0,4.29,0,1,0,1.11,1.06,0.5,0,0
 84-94,0,0,20.03,0,23.87,4.56,3.66,7.8,0,1.79,0,0,496.6,5.85,0,2.37,8.33,0.73,1.57,60.58,3.64,76.36,1.87,1.41,74.18,0,101.35,1.22,0,4.18,1.4,12.53,0,6.61,1.29,0,0,0
 96-106,0,0,16.96,0,23.6,6.89,16.64,33.26,0,0.73,1.02,2.08,650.46,0,0,0.65,3.05,11.13,0,80.39,4.63,114.03,0,0,64.49,0,118,3.41,0,4.69,0,2.42,0,3.17,7.48,0,0.69,0
108-118,0,0,4.31,0,17.69,0.69,28.99,10.68,0.44,0,6.46,4.21,618.67,0,0,1.94,7.47,3.05,0.8,137.61,14.43,90.01,0,0.5,75.03,0.81,67.77,1.36,0,6.03,0.42,10.48,0,2.32,4.66,2.41,0,0
120,0,0,18.48,3.17,8.76,0,12.12,35.39,0,1.49,5.02,0,330.14,0,0,1.19,0,0,0,46.91,24.29,58.05,0,0,57.29,0,51.02,3.65,0,1,0,8.07,0,0,8.84,0,0,16.56
