stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.1,161.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.82,258.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.17,5.77,0,58.8,0,6.96,0,90.36,0,0,0,0,0,63.92,0,0,0,0,0,0,0,0,0,0,638.37,76.19,0,0,257.56,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,65.31,0,52.35,0,4.74,0,51.97,0,0,0,0,0,21.4,0,0,0,0,0,0,0,0,0,3.87,916.4,42.67,0,0,346.49,0,0,22.12,0,25.75,0,0,0,0,0,0,0,0
 14-21,0,0,2.15,1.82,20.33,7.18,0,20.98,0,0,0,10.11,0,0,0.92,0,0,0,0,0,0,22.77,0,20.86,330.12,7.32,0,1.85,3.56,0,0,1.8,18.32,2.08,4.87,24.1,111.09,0,0,5.81,0,0
 24-34,0,0,0,3.84,24.43,0.66,0,45.1,0,0,0,15.29,1.05,0,0.8,0,0,0,0,0,0,42.37,1.21,18.05,926.64,0.73,13.98,1.38,0,0,0,0,0,0,0,8.54,248.93,0,0,13.41,0,0
 36-46,0,0,0,0,3.65,0,0,153.86,0,1.64,1.52,72.34,0,0.59,1.66,0,1.59,0,0.68,0,0,67.4,0.67,15.33,1608.34,3.81,9.48,1.17,0,0,0,0.68,0,0,0.7,0,300.24,0,0,17.69,0,10.3
 48-58,0,0,0,0,7.77,0,0,353.93,1.83,4.99,1.29,78.67,0,0.54,2.29,0,3.13,0,0.51,1.02,5.08,68.37,4.85,6.63,1555.55,5.13,7.72,0.77,0,1.73,0,0,0,0.52,0,0,247.27,0,0,9.89,0,4.45
 60-70,0,0,0,0,7.16,0.76,0,1019.57,0.89,1.88,5.35,125.63,0,0,0.76,0,0,5.84,0,0,0.93,87.42,21.89,22.38,2527.41,1.33,7.6,1.32,0,0,2.42,0,0,0.63,3.95,0,287.74,0,1.27,11.41,0.85,9.54
 72-82,0,0,0.64,0,11.55,4.01,0,749.93,1.2,0,5.5,108.38,1.68,0,3.55,0,0.73,6.46,0,5.15,0,133.07,8.41,19.05,1476.12,1.23,20.57,2.67,0,0,0.58,0,0,0,2.68,0,147.9,0.81,1.18,32.66,3.46,6.81
 84-94,0,0,0,0,18.65,0,0,536.12,0.56,0.66,1.93,100.54,0.92,0,1.7,0.7,0.6,2.66,0.78,0.59,12.89,97.61,3.34,6.24,950.33,0.72,2.45,7.65,0,0,0,0,0,1.34,0,0,88.85,1.37,0,19.89,0,0
 96-106,0,0,1.1,0,5.19,5.69,0,505,1.48,1.87,4.22,115.17,1.59,0,3.9,0,0,1.6,0,0,0,95.59,0,9.83,814.57,0.62,10.7,4.24,0,4.36,0,0,0,0,1.43,0,54.84,0.87,3.64,46.15,5.18,0.73
108-118,0,0,0,0.74,22.93,3.72,1.73,463.67,1.58,1.42,5.23,127.82,0.52,0,0.83,0,0.45,5.58,0.6,0,8.34,88.25,13.28,4.68,1071.75,0.46,14.07,0.88,0,4.36,1.06,0,0,0.94,1.46,0,29.37,0,1.06,31.62,5.64,5.51
120,0,0,4.32,0,27.73,1.53,0,407.02,3.19,2.36,15.66,182.42,4.54,0,1.17,4.22,0,9.98,0,7.23,0,76.51,0,12.76,1665.26,5.14,39.4,11.22,0,46.84,7.37,0,0,2.43,0,0,90.83,1.09,3.8,33.33,6.74,0
