stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.58,0,0,0,11.29,0,0,0,0,0,0,0
 10-12,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.14,5.29,0,0,3.08,0,0,0,0,0,0,0
 14-21,0,0,7.65,0,1.75,16.62,0,0,0,0,0,0.92,0,0,0,30.57,0,5.07,0,0,2.85,2.66,9.63,52.45,0,0,0
 24-34,0,0.84,1.19,0,6.78,9.19,0,0,0.68,0,0,5.92,0,0,0,128.82,0,13.96,0,0,0,0,3.35,50.45,1.6,0,2.68
 36-46,0,0,0,0,10.35,7.62,0,0,0,0,0.7,0.87,0,1.06,0.57,124.36,0,13.8,0,0,0,0,4.68,28.06,0,0,1.05
 48-58,0,0,0,0,33.25,23.15,0,0,0,0,0,14.12,0,0,0.38,125,0,8.73,0,0,0,0,2.44,39.06,0,0,12.02
 60-70,0,0,0,0,29.61,17.47,0.63,0,0,0,0,3.6,0,0,4.27,58.31,0,8.21,0.62,0,0,0,0,28.9,0,0,7.79
 72-82,0,0.49,1.32,0,27.26,25.43,0,1.84,0,0,0,9.78,0,6.94,0.56,51.26,0,11.45,1.09,0,0,0,0,4.34,0.62,0,1.68
 84-94,0,1.29,0,0,0.83,12.9,0,0,0,0,0,2.52,2.16,0,0,40.45,0,4.53,4.2,0,0.66,0,0,14.53,0,1.95,11.27
 96-106,0,0,0.75,0,18.96,14.2,0,0,0,0.59,0,4.64,0,2.02,0,92.75,0.8,11.48,0.93,0,0,0,0.62,2.53,0,0,8.27
108-118,0,1.73,0,1.71,8.85,8.63,6.02,0.97,0,0,0,3.85,0,0,0,39.63,0,5.33,0.85,0,0,0,1.88,5.01,0,0,0
120,0,0,5.7,0,5.57,16.13,0,0,0,0,0,4.31,0,0,0,49.33,2.42,0,0,0,0,0,0,1.7,7.52,0,0
