stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.2,51.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,88.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.28,5.97,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56,16.84,0,0,41.92,0,0,5.28,0,0,0,0,0,0,0,0,0
 10-12,0,12.7,0,27.64,0,0,18.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.66,11.29,0,0,154.66,0,0,14.56,3.57,28.79,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,28.71,4.73,5.45,0,0,0,33.45,1.21,0,0,0.86,0,0,0,0,19.94,0,0,12.45,298.99,2.91,15.47,14.13,3.37,0,3.7,1.16,30.04,11.05,7.79,167.45,0,0,2.9,0,0
 24-34,0,0,0,0.81,8,2.25,28.02,0,0,0.64,24.96,0,0,0,0.59,2.83,1.12,0,6.93,28.53,0,0,7.33,900.86,0.83,75.1,3.37,0,0,0,0,0,10.46,0.81,238.1,0,0,7.37,0,1.19
 36-46,0,0,2.81,0,0.73,0,97.69,0,0,0,31.91,0,0,0,0,4.63,0,0,0,26.61,0,0,3.17,1138.22,0,62.28,3.76,0,0,4.2,0,0,2.11,0,266.22,0,0,1.38,0,1.02
 48-58,0,0,0.44,0.43,1.95,0.69,258.42,0,0,0.44,32.82,0,0.67,0,0,0,1.08,0,1.32,39.54,0,0,5.77,1069.59,6.36,43.85,1.24,0,0.59,3.98,0.65,0,13.57,0,268.12,0,0,3.04,0,3.2
 60-70,0,0,0,0,1.34,0,494.27,0,1.4,0,38.39,1.26,0,0.65,0,1.55,0.66,0.87,0.59,72.9,0,0,1.33,910.57,0,39.95,3.16,0,0,0,0,0,0,0,163.6,0.77,0,2.38,0,6.52
 72-82,0,0,0.58,0,4.64,3.25,504.77,0,0,4.95,27.52,1.62,1.63,3.52,0,3.21,7.76,2.42,0,49.63,0.75,1.23,6.98,820.87,0,58.12,9.58,0,0.71,3.97,0,0,0,0,121.11,0,1.01,2.86,0.77,10.13
 84-94,0,0,3.36,0,11.03,0,384.8,0,0,4.18,27.24,1.3,3.68,0,0.76,3.9,3.6,0,0,62.5,2.28,0,6.45,623.09,0,59.18,16.59,0,0,0,0,0,1.47,0,100.03,1.35,1.93,3.27,0,0
 96-106,0,0,0,0,4.3,0,342.33,0,4.86,6.82,41.71,1.73,0,0.95,0,8.14,4.95,0,0,60.09,0,3.81,0,572.08,0,78.87,21.01,0,2.14,4.29,0,0,0,0,58.47,0,0,3.58,0,0
108-118,0,0,0.84,0,6.42,2.23,377.58,0,1.68,0.46,41.42,0.58,1.02,0,1.59,0.95,5.14,0,0,72.32,0,3.73,3.09,1022.56,0.46,58.1,19.08,0,0,0.44,0,0,0,0,38.01,1.12,0,0,1.23,7.72
120,0,0,2.96,3.17,4.67,0,282.6,2.29,0,4.45,8.93,0,0,4.17,2.21,1.11,10.56,3.71,0,39.64,0,19.94,8.49,1165.13,0,45.74,13.95,0,0,1.86,0,0,0,0,18.38,0,0,9.27,4.27,0
