stage,blastomeres,eye,glial,neural,notochord,olfactory,otic,paraxial_mesoderm,spinal_cord
  5-6,8.69,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.79,0,0,0,0
 10-12,0,0,0,11.88,0,0,0,4.16,0
 24-34,0,0,0,0.82,0,0,1.95,0,0.95
 36-46,0,1.84,0,0,0,0,0,0,0
 48-58,0,0,0,2.7,0,0,0,0,0
 60-70,0,0,0,0,0,1.56,0,0,1.26
 72-82,0,0,0.81,0,0,0,4.73,0,0
120,0,0,0,2.38,0,0,0,0,0
