stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,pericytes,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle
  5-6,15.06,156.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4,0,16.33,0,0,0,0,0,0
 10-12,0,3.64,3.2,0,5.18,22.86,0,0,0,0,0,0,0,3.72,0,42.59,0,0,0,0,0,0
 14-21,0,0,0,2.11,3.14,0,0,0,0,0,0,0,0,11.56,0,0,0,3.26,4.99,6.45,0,0
 24-34,0,0,0,0,0,2.7,0,0.68,0,0.73,0.75,0,3.99,20.67,0,0,0,0.69,3.85,2.94,0,0
 36-46,0,0,0,0,0,4.16,0,0,0,0,0,0,1.22,2.41,0,0,0,0,0,1.11,0,0
 48-58,0,0,0,0,1.65,3.74,0.97,0,0,0,0.51,1.05,1.21,9.63,1.97,0,0,0,0,1.88,0,0
 60-70,0,0,0,0,0.57,8.33,0,0,0,0,6.93,0,2.21,12.95,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,7.2,0,0,0,1.51,4.77,0,0,8.66,0,0,0,0,0,3.01,0,0
 84-94,0,0,0,0,1.87,6.48,0,0.57,0,1.43,3.01,0,0,0,0,0,1.49,0,0,0,0.74,1.26
 96-106,0,0,0,0,0,4.69,0,0,1.07,0,8.73,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.75,3.24,0,0,0,3.06,0,0.46,6.26,0,0,0,0,0,0,0,0
120,0,0,0,0,0,2.01,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0
