stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.06,0,0,0,8.85,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,15.56,0,4.91,0.99,3.9,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0.93,0,0,0,361.76,0,0,0,0,0,0,0,0,9.41,0,2.12,139.32,0,0,0,0
 24-34,0,4.81,0,3.64,0,34.96,0,0,0,2.88,0,0,1.77,11.01,0,0,0,0,3.47,3.34,0,0,1.67,1727.37,0,1.9,11.55,0,0,1.14,0,0,31.24,0,0,219.7,0,2.82,0,0
 36-46,0,1.71,0,7.66,17.02,199.64,0,0,0,14.43,0.82,0,0,2.55,0,0,0,0,28.59,1.82,0,0,1.37,2328.18,0.61,0,3.68,0,0,10.66,0,2.6,18.65,0,0,431.41,0,3.58,0,4.86
 48-58,0,0.98,0,6.89,0,637.13,0.81,0,0,45.79,0.41,0.37,0,14.06,0,4,0.6,6.39,46.78,11.45,0,0,7.73,2008.67,9.26,0,6.68,0,0.97,13.15,0,0,23.79,0,0,335.77,0,3.17,0,1.13
 60-70,0,0,0,1.37,0,1441.06,0.7,0.82,0,112.31,0,0,0,14.6,0,0,5.4,0,8.54,27.6,0,1.55,0.68,1896.05,0,0,10.34,0,0,1.28,0,0,38.04,2.03,0,263.55,0,13.98,0,0
 72-82,0,0.64,0,9.18,2.46,1353.32,0,0.7,0,131.81,4.74,0,0,25.13,0,0.65,3.89,1.85,18.07,34.35,0,0.87,2.21,1672.22,0,1.18,17.19,0,0,16.45,0,0,23.66,0,0,147.45,1.84,4.89,0.61,0
 84-94,0,0.73,0,5.16,12.25,992.75,1.34,0.84,8.01,151.38,0,0,0.78,38.93,1.15,12.3,0.8,2.61,23.18,44.91,2.12,3.04,1.67,1127.54,0.89,2.17,14.27,0,0,19.75,0,0,23.13,0.69,0,110.77,0,1.54,2.14,12.37
 96-106,0,0.99,1.03,20.01,12.64,1043.16,0,1.21,0,143.49,1.45,0,0,52.16,0,1.2,5.27,9.75,15.49,35.11,0,1.82,5.23,929.17,0,6.25,12.13,0,0,5.65,0,0,7.16,0,0,36.14,0,1.57,0,0
108-118,0,0,0.63,13.31,0,970.31,0,1.55,0,217.61,3.69,0,0,25.48,0,0.53,2.93,1.24,38.59,21.87,0,0,2.8,1192.55,0,0.48,27.13,0,0,8.43,0,0,14.99,0,0,45.51,0,2.68,0,3.77
120,0,0,0,18.77,4.09,752.33,1.25,0,6.11,277.65,1.31,0,2.18,63.23,0,0,1.44,5.02,10.36,17.44,0,0,2.62,2041.25,0,2.2,27.66,0,0,0,2.5,0,22.55,0,0,36.43,0,1.25,0,0
