stage,epidermis,eye,fin_mesenchyme,glial,mesenchyme,muscle,neural,spinal_cord
 14-21,0,0,0,0,0,0,0.89,0
 24-34,0,0,0,0,0,0,2.55,0
 36-46,0,0,0,0,0,1.08,3.68,5.15
 48-58,0,2.67,0,0.6,0,0,12.26,2.65
 60-70,0,5.62,0,2.81,0,0,3.61,0
 72-82,0,1.57,0,0.66,0,0,2.22,3.06
 84-94,0,1.76,0.69,7.11,0,0,0,0
 96-106,0,0,0,0,0,0,1.93,0
108-118,0.98,0,0,0,5.4,3.85,0,4.37
120,0,0,0,0,0,0,22.84,0
