stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,glial,immune,mesenchyme,muscle,neural,olfactory,otic,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,52.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.37,43.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.82,0,1.65,0.97,0,2.62,0,2.01,0,0
 24-34,0,0,0.8,0,0,0,0.87,0,0,0,3.97,0.67,0,2.11,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,24.16,0,0,1.45,0,0
 48-58,0,0,0,3.59,6.6,0,0,0,0,0,12.9,1.55,0,0,0,0
 60-70,0,0,0,0,19.38,0,0,0,0,0,2.7,0,0,0,0,0
 72-82,0,0,0.61,0,39.89,0,1.92,0,0.88,0,9.35,0,0,1.43,0,0
 84-94,0,0,0,0,32.91,0,5.1,0,0,0,5.21,4.44,0.65,0,0,0.92
 96-106,0,0,0,0,76.95,0,1.58,0,0,0,4.97,0,0,0,0,0
108-118,0,0,0,0.84,18.28,0.64,0,4.43,0,0,11.1,0,0,0,0.71,0
120,0,0,0,0,0,0,0,0,0,0,29.14,0,0,0,0,0
