stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,87.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0
  5-6,33.5,196.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.01,0,0,0,0,8.98,0,0,0,0,0,0
  7-9,27.78,5.63,9.28,0,0,30.15,0,0,0,0,23.72,0,0,0,0,0,0,364.98,0,0,0,84.88,0,0,0,0,0,0,0
 10-12,0,7.8,15.72,0,0,21.24,0,0,0,0,0,0,0,0,0,0,0,335.28,0,0,0,105.68,0,4.75,3.78,0,7.02,0,0
 14-21,2.31,0,1.03,23.76,4.24,1.13,0,0,0,1.5,2.04,0.86,0,0,0,3.95,0.92,23.01,0.88,0,0,1.35,0,13.69,4.16,12.1,15.98,0,0
 24-34,0,0,0,1.35,0,0.6,0,0,0.68,0,0,0,0,0,0,2.95,1.68,7.57,0,2.64,0,0,5.41,0,0,0.62,1.7,1.04,0
 36-46,0,0,0,0,0,0.56,0,0,2.67,0,0,0.66,0,0,1.29,0.59,0,3.57,0,0,0.72,0,3.95,0,0,0,0.83,0,0
 48-58,0,0,0,0,0,2.04,0,0,0,0,0,0,3.7,0,0,0.57,0,2.11,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.72,0,1.62,0,0.72,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,5.06,0,0,0,0,0,0
 72-82,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0.63,0,0,0,2.78,0,0,0,0,0.6,0,0.7,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,1.75,0,0,0,0,0,0,0.73,0,0,0,1.44
108-118,0,0,0,0.49,0,0,0.43,0,0,0.67,0,0,0,1.77,0,0,0,3.66,0.41,0,0.66,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0
