stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,10.53,31.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.58,78.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0
  7-9,0,0,0,0,0,5.04,0,0,0,0,0,0,0,0,0,0,81.63,0,0,0,21.43,0,0,0,0,0
 10-12,0,0,8.87,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,0,0,0,8.31,0,0,0,0,0
 14-21,0,0,0,3.73,0,1.66,0,0,0,0,0,0,0,0,0,0,26.6,0.88,0,0,0,3.07,3.43,0.95,6.88,0
 24-34,0,0,0,2.11,0,6.86,0,0.61,1.78,0,0,0,0,8.59,0,2.91,88.42,0.67,0,0,0,1.75,0,0,29.64,0
 36-46,0,0,0,0,2.39,13.14,0,0,1.64,0,0.87,0,0,1.98,0,1.62,111.76,0,0,0,0,0,0,0,66.59,0
 48-58,0,0,0,0.43,0,28.72,0,0,13.87,0,1.74,0,0,7.31,0.95,0.5,63.61,0,0,0,0,1.29,0,0,25.53,0
 60-70,0,0,0,0.65,0,33.21,1.14,0,0,0,0,0,3.22,3.51,0,0,101.54,7.16,0,0,0,0,0,0,18.24,1.82
 72-82,0,0,0,0,4.28,25.06,0,0,3.84,0,0,0.93,0,14.68,0,0.71,109.13,0,0,0.69,0,0,0,0,17.81,5.17
 84-94,0,0,0,0.7,0,12.57,0,0,1.14,4.25,0,0,0,9.52,0,0,64.83,0,0,0,0,0.97,0,0,14.57,0
 96-106,0,0,0,0,0,18.21,0,0,0.93,0,0,0,0,2.5,0,0,45.73,0,1.59,0.62,0,0,0,0,0,0
108-118,0,0,0,0.43,0,27.27,0,0,6.07,0,0,0,0,1.74,0,0.62,49.7,0,0,0,0,0,0,0,4.36,0
120,0,0,0,0,0,15.56,0,0,5.27,0,0,0,0,0,0,0,132.6,0,0,0,0,0,0,0,0,0
