stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.02,650.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78,0,0,0,0,0,0,0,0,0,0
  5-6,58.29,485.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1,0,0,0,8.57,0,22.81,0,0,0,0,0,0,0,0,0,0
  7-9,9.03,38.44,0,7.24,0,0,0,105,0,0,0,0,21.91,0,0,0,0,0,0,0,0,0,0,0,488.04,11.45,0,0,191.36,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,66.66,0,87.39,0,17.95,0,52.89,0,0,0,0,9.83,0,0,0,0,0,0,0,0,0,0,0,911.31,25.04,0,0,247.24,0,0,4.94,0,21.48,5.05,0,0,0,0,0,0
 14-21,0,0,1.41,5.9,19.22,9.33,0,14.48,0,0,10.08,1.92,0,0,0,0,0,0,0,0.94,16.54,0,0,6.18,262.28,6.6,7.39,2.65,2.73,0,0.96,0.9,7.01,2.13,3.59,78.97,0,0,0,0,0
 24-34,0,0,2.6,1.51,10.51,1.4,0,12.08,0.82,1.21,0.7,0,0,1.69,0.98,0,0.7,1.38,0,2.34,27.88,0,0.82,23.08,1194.44,0.67,16.27,7.3,0,0,5.22,0,0,0,0,170.31,0,0,5.95,0,2.35
 36-46,0,0,0,0,2.63,0,0,56.74,0.56,2,37.39,0,0,3.66,0,0,0.94,2.71,0,1.09,58.89,1.68,1.54,7.49,2948.55,1.34,18.3,1.97,0,0,0,0,2.9,3.76,0,424.28,0,0,6.06,0,0
 48-58,0,0,0,0,8.49,0.65,0,335.61,0.39,12.83,55.38,0,0,1.9,0.73,0,3.99,2.56,0,0.5,91.73,0,8.84,9.78,3179.94,5.05,6.37,5.18,0,0,6.9,0,0,0,0,446.28,0,0,5.03,0.5,1.68
 60-70,0,0,1.44,0,6.69,0,0,744.67,0.87,0.86,54.64,0.75,0,3.49,0.82,0,1.29,0,1.05,0,103.88,0,1.32,10.5,2995.76,1.03,7.09,1.45,0,0,1.77,0,0,0,0,254.85,0,6.51,12.09,0,6.61
 72-82,0,0,3.26,0,8.97,0.87,0,508.86,2.44,1.04,52.37,1.99,0,0.58,2.29,0.61,3.44,3.38,0,0,118.15,0,3.27,7.99,1638.66,0.61,3.76,14.78,0,3.17,4.82,0,0,0,0,115.82,2.98,6.33,4.67,0,13.36
 84-94,0,0,7.18,0,19.59,0.69,0,305.7,1.88,8.43,34.68,0.65,0,1,1.22,1.05,0.68,0,1.49,1.71,87.54,0,4.78,4.19,915.42,1.46,13.09,2.95,0,0,5.64,0,0,0,0,58.25,0.97,3.43,7.56,0.63,9.81
 96-106,2.68,0,0,0,3.85,0,0,195.44,1.21,3.75,24.13,4.95,0,0,0.73,0.63,0.63,0.84,0,0,12.47,0.77,5.56,1.99,622.76,0,4.09,6.42,0,0,3.28,0,0,0,0,29.72,1.64,2.4,8.83,4.09,0
108-118,0,0,0,0,10.9,1.41,1.73,128.71,1.12,2.45,29.67,1.83,0,1.27,8.55,0,4.27,0.87,1.03,0,26.49,0,0.5,2.82,835.66,0.48,3.38,3.59,0,0,2.39,0,0,0.87,0,8.66,3.42,0,5.66,0,0
120,0,0,0,0,2.36,4.98,2.42,73.98,0,0,36.26,0,0,0,2.27,0,1.91,0,0,0,10.85,0,19.84,0,917.2,0,0,1.29,0,0,0,0,0,0,0,23.42,1.39,0,0,0,0
