stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,21.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,32.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.98,5.12,0,0,0,0,0,0,0,0,0,0,34.57,0,0,0,0,0,0,0,0,0,0,0,50.64,29.88,0,0,16.58,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,11.16,13.73,0,0,0,19.17,0,0,0,0,0,179.72,0,0,0,0,0,0,0,0,0,0,0,153.16,77.16,0,0,123.1,0,0,3.78,0,0,0,8.71,4.47,0,0,0,0,0
 14-21,0,0,0,11.55,1.81,0,0.91,0,0,0,0,2.82,1.19,1.07,0,0,0,0,0,0.86,14.5,0,0,9.99,31.77,8.93,0,0,0.81,0,1.06,0,7.55,0,0,14.89,18.93,0,0,2.32,0,0
 24-34,0,0,0,4.71,1.89,0,8.52,0,1.37,3.33,1.54,0,0,4.32,0,0,0,0,0,0,44.45,0.69,0,28.51,51.69,9.98,0,0,0,0,3.12,0,0,0,0.61,10.4,25.59,0,0,12.39,0,0
 36-46,0,0,0,4.59,0,0,3.36,0,0.74,6.47,4.21,0,0,1.36,0,0,0,0,0,0,122.27,0,1.59,31.28,50.3,13.48,0,0.6,0,0,2.54,0,1.63,0,0,0,40.14,0,0,2.02,0,4.92
 48-58,0,0,0,1.9,0,0,11.2,0.45,2.85,4.68,11.76,0,0.52,1.51,0,0,0,0,0,0,142.68,0,1.38,17.32,35.43,5.89,0,1.13,0,0.45,0,0,0,0,1.79,0,24.85,0,0.37,5.48,0,6.58
 60-70,0,0,0,3.97,0,0,25.29,0,7.47,8.19,22.4,0,0,1.29,0,0,0.87,0,0,0,262.38,0,11.72,9.69,13.45,19.75,0,5.05,0,0,1.04,0,0,0,0,0,19.48,0,1.38,15.04,1.92,17.21
 72-82,0,0,0,1.12,0,0,27.19,0,0.63,7.68,27.57,0.94,0,3.71,0,0,0,0.72,0,0,444.43,0,7.65,20.77,31.86,10.98,0.56,3.22,0,0,0,0,0,0,0,0,13.83,0.87,9.95,16.28,10.05,2.82
 84-94,0,0,0,2.93,8.18,0,14.27,0,0.6,7.97,13.89,0,0,2.36,0,0.55,1.51,1.05,0,0,315.12,0,5.48,17.03,57.45,10.67,0,2.2,0,1.59,2.71,0,0,0,0,0,15.33,0,5.64,17.55,9.29,8.37
 96-106,0,0,0,8.09,0,1.23,12.18,1.3,0,10.61,29.65,2.2,0,4.43,1.35,0,0.87,0.65,0,0,352.97,0,7.79,17.33,44.68,2.74,1.59,2.38,0,1.54,0,2.06,0,0.71,0,0,12.36,0,9.08,19.24,4.73,0
108-118,0,0,0,11.35,0,18.39,22.59,1,4.61,14.19,20.96,4.81,0,2.87,0,0,0,2.23,1.26,0,437.12,0,22.59,16.3,37.66,9.4,0,3.71,0,14.42,0.85,0,0,0,0.66,0,5.65,0,5.75,9.43,8.95,10.08
120,0,0,0,4.02,0,5.29,17.77,0,4.41,12.28,29.56,0,0,3.17,0,1.45,0,0,0,0,414.78,0,18.21,12.43,26.72,1.08,0,1.59,0,0,0,0,0,0,0,0,0,0,0,29.23,29.23,15.28
