stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  5-6,8.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.29,3.54,0,0,7.72,0,0,0,11.52,0,0,0,0,0,0,0,81.81,6.97,0,21.98,0,0,0,0,0,0,0
 10-12,0,0,0,0,16.24,0,0,0,4.77,0,0,0,0,0,0,0,149.94,9.53,0,4.43,0,0,8.66,0,0,0,0
 14-21,0,0,0.86,0,0.92,0,0,0,0,0,0,0,0,0,0,1.58,3.85,0,0,0,3.5,3.35,0,0,3.02,0,0
 24-34,0,0,0,1.27,0.71,0,0,0,0,0,0,0,0,1.06,0,0.65,25.79,0,1.44,0,0,0,0.65,0.61,4.76,0,0
 36-46,0,0,0,0,3.39,11.24,0,0,0,0,0,0,0,6.8,0,0,51.49,0,0,0,0,0,0,0,6.25,0,0
 48-58,0,0,0,0,8.68,0,3.21,0,0,0,0,0,0,2.26,0.48,0.41,59.97,0,0.5,0,0,0,0,0,8.24,0,0
 60-70,0,0,1.45,0,10.98,0,5.63,0.65,0,0,0.92,0.81,0,10.1,0,0,52.55,0,0,0,0.83,0,0,0,6.66,0,0
 72-82,0,0,0,2.02,19.73,0,5.15,0,0,0,0,0,1.65,4.82,0,1.91,49.15,0,0,0,0,0,0,0,2.33,2.98,3.3
 84-94,0,0,0,0,6.3,0,12.24,0,0,0,0,0,0,6.26,0,0,17.02,0,0.83,0,0,0,0.91,0,1.6,0,5.75
 96-106,0,0,1.22,0,14.14,0,21.87,0,0,0,0,0,0,13.77,0,0,83.81,0,0,0,0,0,0,0,0,0,3.08
108-118,0,0,0.42,0,3.17,0,3.98,0,0,0.44,0,0,0,2.83,0,0,30.72,0,0.44,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,9.12,0,0,11.4,0,0,0,0,0,0,0,0,0,0
