stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,57.03,818.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,398.92,3634.85,0,0,0,0,0,0,0,0,0,0,0,27.71,0,0,0,0,0,0,0,0,0,186.22,51.32,0,0,49.7,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,101.15,54.9,0,117.12,0,0,0,115.55,0,0,0,0,0,32.58,0,0,0,0,0,0,0,0,0,2017.1,209.75,0,0,1016.29,0,4.34,58.67,0,0,0,0,0,0,0,0,0
 10-12,0,61.78,0,69.58,0,35.31,0,83.52,0,0,0,0,0,21.06,0,0,0,0,0,0,0,0,0,1190.47,93.54,0,0,464.36,0,0,6.8,0,50.87,0,17.8,0,0,0,0,0
 14-21,0,0,0,2.92,29,0.84,0,6.58,0,0,0,1.88,0,0.81,0,0,0,0,0,0,6.27,0,8.65,144.49,3.6,0,0.94,2.88,0,0,0,25.6,0,5.64,43.1,41.76,0,0,0,0
 24-34,0,0,0,0.67,12.7,0,0,17.38,0,0.59,4.07,4.04,0,0,0,0,0,0,4.53,0.65,32.55,0,19.97,265.88,2.02,1.56,6.45,0,0,0,0,0,0,1.5,10.12,64.73,0,0,4.6,0
 36-46,0,0,0,0,16.74,0,0,15.84,0,0,2.07,21.7,0,0,0,0,0,0,0,0,40.03,0.95,13.92,136.49,0,26.99,4.21,0,0,0,0,0,0,0,0,47.88,0,0,1.49,0
 48-58,0,0,0,0,2.31,0,0,136.79,0.84,0,1.37,34.52,0,0,0,0,0,0,2.56,0,49.99,1.63,8.12,73.81,0,2.61,4.76,0,0,0,0,0,0.86,0,0,35.22,0,0,0,0
 60-70,0,0,0,0,8.5,0,0,239.94,0,0,0.62,40.54,0.66,0,0,0.65,0,1.48,0,0,63.35,0,5.95,39.24,0,11.49,1.8,0,0,0,0,0,1.68,0,0,9.74,0,1.68,0,0.8
 72-82,0,0,1.25,0,5.97,0,0,102.27,0,0,4.2,68.39,1.61,0,0.68,0,0,0,0,0,105.54,1.18,14.35,20.88,0,12.5,1.84,0,1.78,0,0,0,0,0,0,3.14,0.87,0,2.95,5.59
 84-94,0,0,0,0,11.35,0,0,153.14,0.76,1.98,1.95,46.82,0.92,0,0,0,0.68,0,0,0,77.18,9.34,2.99,39.62,0.57,8.3,1.27,0,0,0,0,0,0,0,0,3.1,0,3.4,0,5.67
 96-106,0,0,0,0,6.76,0,0,62.31,0,0,3.37,75.65,0,0,0,0.72,3.12,0,0,0,72.07,0,3.9,18.48,0,12.44,3.73,0,0,0,0,0,0,0,0,0,0,1.9,0,12.11
108-118,0,0,0,0,10.71,0,1.7,46.65,0,0,1.32,56.99,3.19,0,0,0,0.72,4.5,0,0,63.51,0.76,4.47,29.05,0,11.59,4.51,0,1.49,0,0,0,0,0,0,0,0,4.52,0,3.47
120,0,0,0,0,0,2.65,0,44.76,0,2.25,4.21,50.19,0,0,0,0,0,5.95,0,0,47.39,0,3.21,34.32,3.03,6.87,9.58,0,0,0,0,0,0,0,0,0,0,7.58,0,5.05
