stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,32.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.49,0,0,0,16.19,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,9.47,3.86,0,0.87,0,0,0,0,0,62.04,0,6.71,0,0,0,0,99.14,0,0,19.67,25.61,3.15,0,0,0,0,0,6.83,0,1286.19,1084.48,6.19,0,0,0,0,0
 24-34,0,0,0.76,28.26,0.79,0,24.07,1274.2,0.71,0,15.17,1.41,66.19,6.32,0,0,0.6,3.55,0,38.14,0,0,229.42,589.61,3.04,0.77,4.64,0,0.99,19.96,1.55,3.82,1398.43,1149.35,61.55,0,0,25.58,0,8.15
 36-46,0,0,0,12.5,0,0,53.55,2686.92,3.83,0.88,8.79,0.61,41.73,4.17,3.36,0,0,5.68,6.1,52.13,0,0.55,131.59,495.53,0,3.46,0.84,0,0,48.87,0,0,1351.04,91.42,79.12,0,0,14.02,0,6.16
 48-58,0,0,0,7.32,2.84,0,205.71,2192.36,1.36,5.56,54.08,0,19.69,1.42,5.07,0,0.44,11.42,7.44,84.82,0,3.84,121.33,677.41,7.26,4.58,6.24,4.77,1.51,20.44,0,4.15,756.45,0.55,152.49,0,3.31,8.9,0,50.73
 60-70,0,0,0,19.79,0.7,0,193.98,1129.1,0,9.67,36.22,1.05,25.38,0,0.58,0,0,1.33,4.32,49.91,0,2.18,83.07,412.79,2.19,0.88,2.15,8.38,2.07,29.66,0,6.78,303.62,0,33.01,0,0.63,0,1.88,9.69
 72-82,0,0.56,0,10.06,10.88,0,163.9,829.07,0.51,3.32,20.4,3.18,10.52,2.97,0,3.11,2.53,2.52,2.32,66.23,0,0,86.47,299.44,0,2.58,0.61,1.13,0,18.11,0,0,166.25,0,22.71,4.15,3.39,8.79,1.86,54.28
 84-94,0,0,0,20.76,47.05,2.25,167.45,1310.78,0.58,1.06,51.68,5.59,7.46,4.9,0.6,2.66,4.58,11.22,9.72,99.41,1.42,7.84,119.22,249.68,0.79,8.03,2.18,0,0,37.08,0,4.19,278.63,0,17.55,0,0,17.11,34.14,12.02
 96-106,0,0.87,0,39.1,104.84,0,458.75,2206.57,9.97,5.16,74.84,1.7,10.63,6.13,4.35,6.62,5.53,38.82,11.4,148.41,16.45,7.22,136.51,425.36,0,18.41,5.82,0,14.65,112.12,0,0,306.13,0,31.62,5.04,13.34,25.97,18.24,20.98
108-118,0,0.64,0,23.1,40.32,2.17,335.99,1941.03,4.64,1.47,56.75,8.77,18.2,7.79,3.28,1.71,2.42,16.84,28.64,108.24,7.59,2.61,205.72,484.35,0,2.83,9.17,0,10.87,60.46,0,0,279.62,0,18.78,2.11,4.75,12.83,17.44,31.33
120,0,0,0,8.41,2.29,0,193.26,1260.46,0,6.43,40.93,3,18.15,12.35,3.69,3.91,0,0,0,89.38,0,12.61,211.27,323.85,0,14.66,1.84,0,8.92,17.35,5.59,0,104.48,0,0,0,0,4.33,7.17,0
