stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immmune,monocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros, spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.68,0,0,0,7.9,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,29.62,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,59.33,0,0,0,0,1.11,0,0,0,0,1.12,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,53.97,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,2.57,0,0,0,0,0,0,0,53.09,0,0,0,0,0.56,0,0,0,0,0,0,1.33,0,0,0,0,0
 60-70,0,0,0,0,13.38,0,0,8.01,0,0,0,0,34.11,0.73,0,0,0,0.94,0,0,0,0,0,0,1.9,0,0.57,0,0,0
 72-82,0,0,0.59,0,20.86,0,0.59,7.66,0,0,0,0,213.47,3.89,0,0,0,16.43,0,0,0,0,0,0,0,0,0,0,0.49,2.09
 84-94,1.01,5.71,2.29,0,18.23,0,0,2.41,0.65,0,0,0.7,625.06,1.14,1.23,0,0,16.42,0,0,0,0,1.18,0,1.35,0,0,0,0.92,0
 96-106,0,3.72,5.12,1.32,56.13,0,0,14.01,0.57,2.33,0,0,1020.32,9.82,1.66,1.7,3.41,123.94,0.73,1.9,0.84,0,16.47,0,0,0,0.72,0,2.82,9.09
108-118,0,4.21,9.42,0.45,26.22,0.97,0,11.48,1.87,0,0.46,0,2348.27,15.26,0,0,2.67,128.91,0,0,0,0,4.2,0.96,5.84,0.55,0,1.94,2.97,0
120,0,6.63,0,0,13.3,0,0,9.31,1.14,0,1.72,0,1236.48,24.51,0,0,9.27,94.36,0,0,0,0,1.1,0,0,0,3.8,2.71,4.96,0
