stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0,0
 10-12,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.92,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.99,113.04,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,8.63,0,0,2.3,11.16,0,0,0,0,1.05,0,0,0,0,0
 24-34,0,2.25,36.47,0,0,0.63,3.54,0,0,0.66,0.77,0,0,0,0,0,14.65,22.11,0.77,0,8.86,2.4,0,0,0,0,8.83,0,0,1.06,0,0
 36-46,0,0,14.21,0,0,0,8.34,0,0,0,0,0,0,0,0,0,7.36,12.87,0,2.19,3.02,11.01,0,0,0,0,19.95,0,0,0,0,0
 48-58,0,0,6.54,0,0,2.18,8.57,0,0,0,0.63,0,0,0,0,0,0,87.05,0,2.06,5.02,17.49,0,0,0,0,0.51,0,0,0,0,0
 60-70,0,0,50.83,0,0,5.34,17.21,0,0,0,0.7,29.14,0,0,0,0,0,337.99,0,107.12,39.63,7.65,0,0,2.66,0,0,0,3.57,0.71,0.98,0
 72-82,0,0,13.28,0,0,33.3,5.31,14.06,1.79,13.23,4.79,0.56,0,0,0,0,0,608.39,0.75,336.12,35,20.94,0,17.51,0,0,0,2.98,0.67,0,57.85,0
 84-94,5.15,0,70.23,0,0,10.98,19.11,38.72,5.13,17.99,2.1,4.78,0.82,0,0,1.64,0,510.33,0,265.16,3.39,18.9,2.28,14.76,0,0,0,0,5.49,0,77.06,0
 96-106,0,0,289.19,11.36,1,100.12,59.05,21.36,3.14,29.08,36.58,26.58,0,0.58,0.92,0,0,1452.26,1.75,848.67,17.21,73.45,1.21,42.65,9.13,4.81,0,6.69,10.72,7.67,134.07,1.22
108-118,0,0.49,136.75,0,2.29,16.58,107.6,18.78,1.24,36.55,11.85,0.91,8.17,0,0,2.97,0,860.26,2.78,749.59,41.51,60.89,0,151.76,3.39,0.49,0,2.68,6.72,9.88,78.68,0.59
120,0,0,34.13,6.95,0,0,20.88,27.65,3.24,24.54,0,0,0,0,0,0,0,596.6,0,704.46,46.14,48.6,0,49.78,1.52,0,0,1.49,0,0,210.74,0
