stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,1.23,0
 24-34,0,1.25,0,0,0,0,0,0,0,0,0.86,1.33,0,0,1.2,0.62,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0,0,1.05,1.31,0,0,0
 48-58,0,0,2.49,0,0,0.62,0,0,0,0,0.73,0,0,0,4.53,0,0,0,0,0.44,6.26,0
 60-70,0,0,1.28,0,0,0,0,1.93,0,0,2.61,0,0,0,5.22,0,0,0,0,1.2,0,0
 72-82,0,0,33.53,0,1.27,0,0,2.33,0,0,1.76,0,0,0,7.23,0,0.71,0,0,0,0,0
 84-94,0,0,8.18,0,1.41,0,0.78,2.08,3.16,0,14.74,0,0,0,12.76,0,0,0,0,0,0,0
 96-106,0,2.86,27.13,0,0.74,0,0,1.74,0,0,0,0.67,0,0,12.26,0.75,0,0,0,0,4.24,0
108-118,0,0.66,15.4,1,0,0,1.37,2.1,0,0.84,6.72,0,1.21,0.92,13.69,0,0,0,0,0,0,0
120,0,7.81,51.49,0,3.03,0,0,15.36,0,0,2.81,3.05,0,0,61.28,0,0,7,0,0,0,9.16
