stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,100.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,417.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.41,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,87.76,0,0,0,22.18,0,7.58,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.23,0,0,0,23.78,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.37,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.19,0,0,0.89,1.09,0,0,0.9,0,13.26,0,0,0,0,0
 24-34,0,0,1.21,0,2.99,0,0,59.42,0,0,0,0,0,0,0,0,0,2.64,0,0,1.59,606.77,0,0.63,0,0,0,0,0,0,112.48,0,0,0,0,0
 36-46,0,0,1.33,0,12.22,0.57,1.14,156.28,0,0,0.89,0,0,0,0,0,0,14.75,0,0,0.8,3686.53,0,1.39,0,0,5.23,0,0,0,546.27,0,0,0.9,0,0
 48-58,0,0,2.22,0,36.06,0.58,0.48,272.39,0,0,0,0,0,0,0,1.84,0,11.09,0,0,2.17,1956.3,0,1.97,0.59,0,0,0,0,0,318.42,0,0,0,0,0
 60-70,0,0,0.77,0.81,73.13,0,1.53,397.98,0,0,0.77,0,0,0,1.16,0,0.59,14.97,0,0,1.14,1117.59,1.83,0,0,0,0.69,0,0,0,173.22,0,1.31,2.92,0,3.39
 72-82,0,0,5.12,1.58,88.37,0,0,413.17,1.79,0,1.08,0,0,0.83,0,0,0,29.63,0,4.09,1.96,866.13,0,0,0,0,3.12,0,0,0.68,118.74,0.87,3.01,0,2.98,0
 84-94,0,3.97,5.56,0.76,67.82,0,0,288.37,0.84,0,0.97,0,0,0,0,0,0,16.91,0,0,0.77,793.98,0,0,0,0,0,0,0,0,88.13,0,0,0.92,0,0
 96-106,0,2.4,3.55,0,53.88,0,0,233.35,1.53,0,0,0,0,2.85,0.58,0,0,18.17,1.74,0,0,611.15,0,0,0,0,0,0,0,0,36.99,0.62,0,0,0,1.44
108-118,0,3.88,0,2.97,49.47,0,0,305.09,1.33,0,0,1.63,1.4,2.17,0,3.01,0,10.64,0,0,0,592.76,0,0,0.74,0,0,0,0,1.88,37.26,0.91,0,1.18,2.47,0
120,0,7.47,13.63,7.28,88.68,1.16,0,411.86,22.31,0,0,10.09,0,3.65,4.1,9.76,0,20.99,0,2.18,0,895.88,0,0,0,0,0,0,0,0,61.38,0,1.46,2.66,0,0
