stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,36.74,926.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,159.79,1530.09,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,127.74,0,0,0,0,0,13.66,0,0,0,0,0,0,0
  7-9,10.41,29.17,32.87,0,0,102.94,0,0,0,0,0,16.82,0,0,0,0,0,0,766.61,32.59,0,0,224.64,0,4.34,0,0,0,0,0,0,0
 10-12,0,16.67,29.4,0,6.18,58.19,0,0,0,0,0,3.85,0,0,0,3.73,0,0,618.99,44.28,0,0,183.14,0,0,0,54.48,0,0,0,0,0
 14-21,0,0,0,6.55,0,4.2,0,0,0,1.06,0.83,0,0,0,0,0,8.76,1.87,71.16,0,0,1.81,0.89,0,1.14,10.52,0,4.56,21.32,0,0,0
 24-34,0,0,1.2,1.37,0,25.12,0,0,0,3.71,0,0,0,0,0,0,7.27,11.25,185.03,5.38,0,0,0,0,8.32,0,0,0,28.88,4.53,0,5.31
 36-46,0,0,0,1.24,0,22.24,2.67,5.83,1.77,2.34,0,0,0,2.77,0,0,5.23,0.56,60.15,0,0,0,0,0,3.42,0,0,0,11.55,3.76,0,0
 48-58,0,0,0,0,0,20.86,0,1.96,0,6.23,2.62,0,0,0,0,2.84,6.61,0.51,36.72,0,0,0,0,0,0.59,0,0,0,4.45,0,0,2.57
 60-70,0,0,0,3.76,0,10.33,0,0,0,12.22,1.59,0,0,0,0,0,2.52,0,18.69,0,0,0,0,0,22.46,0,0,0,0,0,0,0
 72-82,0,0,0,0.52,0,4.85,0,0,1.14,5.58,0.86,0,0.88,0,1.58,2.52,10.37,0,20.95,0,1.07,0,0,0,1.79,0,0,0,0,0.63,0,0
 84-94,0,0,0,1.65,0.59,0.78,0.91,0,1.38,6.13,0,0,0,0,0,0.83,7.44,1.22,10.71,0,0,3.27,0,1.2,1.95,0,0,0,0,3.32,0,0
 96-106,0,0,0,0,0,7.43,0,0,0.63,5.05,0,0,0,0.78,0,0,5.49,0.7,17.87,0,1.93,0.6,0,0,1.37,0,0,0,5.85,1.61,1.08,1.29
108-118,0,0,0,0,0,1.72,0,0,0.79,7.84,0,0,0,0,0,0,10.14,0.57,9.25,0.77,0,7,0,0,2.17,0,0,0,0,1.39,0,0
120,0,0,0,3.12,0,0,0,0,0,1.87,0,0,0,0,0,0,2.02,0,26.95,0,0,0,0,0,0,0,0,0,0,1.46,0,0
