stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,86.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.21,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8,0,0,5.1,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0.83,0,0,0,3.47,0,0,0,0,0.95,1.26,0.85,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.54,0,0,0,0.67,0,0,0,40.63,0,0,2.8,14.31,0,0,0,0,0,0,0,4.86,0,0.94,0,0
 36-46,0,0,0,0,0,4.13,0,1.48,1.68,0,0,0,0,0,0,104.74,0,0,6.92,11.63,0,0,0,0,2.1,0,0,4.22,0,0,0,0
 48-58,0,0,0,0,0,4.57,0,8.24,1.04,0,0,0,0,0,0.39,162.16,0,0,13.46,26.81,0,1.8,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,2.21,0,3.29,0,10.34,0.87,0,0,0,0,0,0,305.99,0,2.58,24.4,5.99,0.58,0,0,3.75,0,0,0,1.26,3.15,0,1.47,9.77
 72-82,0,0,2.11,0,0,9.56,0,39.36,0.68,0,0,0,0,0,0,418.31,0,1.74,34.14,21.18,0,0,0,1.75,0,0,0,0.73,1.61,0,3.09,0
 84-94,0,0,0,0,0,10.98,9.09,10.95,1.31,0,0,0,0.56,0,0,308.6,2.96,2.25,13.4,14.04,1.78,0,0,0,0,0,0,0,2.12,0,0,0
 96-106,0,0,0,0,0,9.28,0.7,18.93,1.22,0,0,1.02,0,0,1.8,424.61,0,3.36,23.99,23.54,0,0,0,8.45,0,0,0,0,1.01,0,0,0
108-118,0,0,0.43,0,1.51,3.84,1.76,13.84,0,0.45,0,0,0.56,0,0,423.33,0,6.64,12.37,23.65,0,0,0,0,2.34,0,0.42,3.93,2.74,0.55,0.49,0
120,0,0,0,2.17,0,5.69,5.79,38.7,0,0,0,3.24,0,2.21,0,442.7,0,0,27.45,19.36,0,3.34,0,9.36,0,0,0,0,8,0,0,0
