stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,3.91,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.05,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0.93,3.88,0,0,0,0,0,0.88,0,0,0.83,0,0,0,0,0
 24-34,0,0,0,0,6.5,0,1.27,0,0,0,0,0,0,0,0,0,0,0,1.47,50.26,0,2.89,0,0,2.55,0,0,0,13.65,0,0,0,0,0
 36-46,0,0,0,0,1.17,0,2.79,0,0.76,1.28,0,0,0,0,0,0,36.36,0,2.22,175,0,4.27,0,0,0,0,0,0,33.15,0,0,0.9,0,0
 48-58,0,0,0,0,7.82,0,23.59,3.24,0,5.05,0,0,0,0,0,0,5.47,0,6.78,307.9,1,5.11,0,0,3.93,0,0,0,42.88,0,0,0,0,0
 60-70,0,0,0,0,5.94,7.97,67.14,3.94,8.64,19.62,0,0,0,0,0,3.98,12.96,0,0.6,564.46,0,8.49,0.62,0,14.15,0,1.06,0,52.09,0,1.31,0.57,0,0
 72-82,0,0,1.9,0,8.27,1.72,92.88,4.04,1.22,39.18,0,0,1.71,0,0.67,0,29.75,1.12,2.39,499.93,0,20.33,12.21,0,3.09,0,0,0,31.5,0,0,9.35,0,1.18
 84-94,0,0,0.66,0,3.43,0,61.14,1.71,0,31.22,0,3.35,0,0,0,0,7.87,0.73,0,339.23,0,3.19,3.45,0,3.68,0,0,0.6,23.08,2.42,0,4.45,0,2.9
 96-106,2.68,0,1.17,0,14.37,5.88,93.05,0.71,0,17.45,1.38,0,0.73,0.75,1.15,0,42.6,1.09,1.1,274.7,0,17.62,1.65,0,5.16,0,0,0,10.43,0,1.88,5.76,0,0
108-118,0,0,0,0,7.56,0,69.09,3.46,0,18.2,8.32,0,1.03,2.57,2.42,0.75,18.13,1.21,1.44,326.36,0,6.13,8.15,0,2.17,0,0,0.43,8.9,2.55,0,1.86,2.01,0
120,0,0,0,0,6.34,0,98.94,0,0,33.67,1.73,0,0,0,1.77,0,28.44,9.54,0,970.35,0,13.19,0,0,4.42,0,0,0,37.21,0,0,0,0,0
