stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3.73,25.69,285.61,50.59,0,94.28,0,0,0,34.43,10.21,4.85,4.48,0,11.58,0,0,0,0,97.82,0,0,86.44,1230.66,20.25,5.44,15.08,33.07,0,47.76,2.22,129.97,5.29,4.43,180.94,423.03,0,0,10.96,0,4.42
 24-34,0,2.92,3.98,101.54,2.44,0,144.01,1.63,10.4,1.29,35.17,4.19,0,14.51,1.29,10.94,0.92,5.27,0.69,10.6,233.63,1.94,1.21,93.71,2593.15,25,46.98,23.14,0,2.6,157.04,0,0,21.81,16.32,18.68,604.63,0,0,59.63,0,11.57
 36-46,0,3.61,0.96,79.03,7.98,0,470.45,22.99,28.99,13.99,154.86,3.09,0,16.18,13.05,5.48,1.43,5.21,0,10.96,278.51,0.68,2.75,74.86,4913.7,46.24,48.48,12.06,0,0,245.47,0.91,0,11.1,5.52,0.69,1002.48,0,0,92.82,0,18.55
 48-58,0,0.68,0.98,76.32,0,0,1107.06,12.19,18.96,14.92,357.33,2.93,2.5,7.54,17.78,7.32,19.21,6.05,2.15,32.86,386.33,2.98,10.93,72.03,5421.48,38.04,44.91,30.64,3.66,1.46,182.43,0,0,4.62,11.96,0,1049.52,0,2.93,49.53,0.78,24.05
 60-70,0,2.06,1.02,56.2,5.63,0,2165.77,5.9,14.17,31.73,440.96,0.63,4.94,18.02,15.12,2.02,15.13,4.18,4.19,2.64,464.24,5.47,18.81,62.06,5743.94,14.21,25.1,20.19,0,5.12,104.42,0,0,24.11,15.74,0,768.7,2.39,14.64,51.85,6.11,41.14
 72-82,0,10.93,0,94.3,68.88,0,2884.89,3.02,8.1,36.55,592.5,14.32,0.52,9.31,18.48,11.58,10.74,11.3,15.1,11.57,764.69,22.35,43.48,76.68,5603.2,12.52,51.66,51.69,0,15.95,118.36,1.65,0,11.79,11.15,0,487.5,8.19,20.67,125.08,24.22,80.41
 84-94,0,11.47,1,141.19,57.4,0.64,1951.51,5.23,27.67,24.57,425.33,19.45,1.99,6.33,48.62,14.93,24.43,9.55,12.8,35.85,611.86,15.45,20.66,42.25,3531.88,15.5,59.89,58.38,0,6.97,234.86,0,0,16.45,18.29,0,354.84,17.25,11.32,86.44,26.76,32.92
 96-106,1.12,11.06,1.03,111.98,89.58,7.17,1904.87,1.8,20.81,27.73,507.77,28.29,0,5.8,43.1,10.97,26.11,25.14,17.3,6.57,613.81,13.2,32.02,57.64,3102.99,16.35,73.63,95.41,0,16,252.07,5.46,0,9.58,1.24,0,184.67,21.11,15.97,123.13,23.5,37.17
108-118,0.67,16.19,0,148.25,47.56,16.55,1866.47,16.04,28.63,26.29,579.53,47.99,0,7,41.72,15.24,39.25,19.77,24.08,13.18,601.51,28.97,32.68,53.61,3939.96,24.52,41.9,73.35,0,16.34,222.51,0.48,0,8.61,5.78,0,174.3,34,15.19,103.98,20.62,35.62
120,2.37,17.17,1.66,208.37,53.37,8.47,1714.83,13.94,22.76,65.45,1010.41,35.23,0,25.8,86.31,39.76,16.91,24.29,6.12,10.75,753.15,27.81,61.74,61.22,6364.57,29.92,120.02,128.32,10.96,81.53,229.14,0,0,12.62,0,0,177.86,28.31,21.88,144.38,40.97,37.68
