stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.47,42.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,120.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.1,0,0,0,3.6,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.3,0,0,0,0,4.02,0,0,0,0,0,0,64.76,0,0,0,31.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57,0.85,0,0,0,10.38,0,4.13,0,0,0,0
 24-34,0,0,0,0,1.63,0,0,0,0,0,0,0.68,0,0.73,0,0,13.98,0,4.64,1.16,0,0,1.32,6.28,0,0.77,0,0
 36-46,0,0,0,0,2.69,0,0,0,1.1,0,0,0,0,2.78,0,0,33.24,0,0,0,0,0,0,3.76,0,0,0,0
 48-58,0,0,0,0,26.57,0,0,0,0.69,0.54,0,0,0,2.77,0,0.82,7.13,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,207.84,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0.97,0,0,0,0
 72-82,0,0,0,0,359.74,0,1.61,0,0.71,0,0,0,0,4.8,0,0.68,10.43,0,0,0,0,1.5,0,0.75,1.75,1.9,0.6,0
 84-94,0,0,0.71,0,508.05,0,0,0,0,0,0,0.59,0,6.57,0.92,0,10.09,0,0,0,0,0,0,0,0,0,1.66,8.7
 96-106,0,0,7.85,18.75,622.33,4.3,0,0,2.08,0,0,4.97,0,14.55,0,1.63,30.76,0,0.7,0,0,3.3,0,2.31,0,0,2.37,0
108-118,0,0,1.32,0,785.61,0,0,0,7.91,0,3.37,4.83,0.66,9.2,1.05,0,15.91,0,0,0.47,0,0,0,0,0,1.14,0,0
120,0,0,1.16,0,1293.31,0,0,3.57,0,0,0,1.23,0,0,0,1.66,39.7,0,0,0,0,0,1.02,0,0,4.33,0,0
