stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,123.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.18,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.83,0,0,0,0,0,0,0,0,0,20.52,0,0,0,0,0,0,0,0,0,0,231.74,3.7,0,0,46.19,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,74.88,35.98,0,0,26.57,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.86,1.97,0,2.67,0,0,1.61,0,1,0,0,0,0,1.47,0,9.3,0,0,2.18,34.51,37.12,0,0,0,0,0,0,0,23.2,0,0,0,0,0
 24-34,0,0,0.66,0,0.77,0,18.09,0,0,3.36,0,0,0,0,0,0,0,1.94,65.22,0.65,0,2.94,83.95,40.09,0,0,0,0,0,0,0,42.57,0,0,0,0,5.47
 36-46,0,0,0,0,1.15,0,23.57,0,0,2.9,0,0,0.79,0,0.86,0,0,1.24,196.06,3.01,0,5.33,151.87,29.7,2.54,0,0,0,0,0,2.3,45.22,0,0,0,0,0
 48-58,0,0,0,0,1.2,0,64.41,0,0,11.46,0.54,0,0,6.17,11.04,0,0,8.58,191.85,7.49,0.84,15.94,222.71,41.53,0,0,0,0,10.3,0,1.55,27.09,0,0,0.45,0,0
 60-70,0,0,0,0,3.88,0,59.33,3.53,1.68,5.56,0,0,3,0,21.77,0,0,1.87,210.85,19.65,0,5.78,499.54,35.87,0,0,0,6.8,0,3.48,1.5,43.45,0,0,0,0,0
 72-82,0,0,1.32,0,8.71,6.42,66.3,0,1.07,25.79,0,0,4.32,0,22.38,0,2.73,14.09,241.03,30.1,2.38,5.41,619.84,12.62,0,0.5,0,3.32,0,0,0,31.74,0,0.53,0.81,0.91,6.63
 84-94,0,0,0.7,0,1.99,0.66,132.92,0.91,0,8.53,0,0,0,0,11.03,0,0,36.7,184.53,18.81,5.67,2.7,542.21,23.6,0,2.07,0,6.51,4.09,0,0,31.07,0,6.44,0,2.93,0
 96-106,1.12,0,0.63,0,3.42,17.63,61.35,1.47,3.76,4.73,0,0,1.61,0,2.54,0,0,30.9,161.98,52.75,2.72,4.36,535.96,4.27,0,2.05,1.2,20.91,0,0,0,24.62,0,7.96,5.85,0,11.34
108-118,0,0,1.08,0.74,11.26,4.72,116.19,0,1.35,20.6,0.72,0,0,1.91,8.48,2.23,2.49,60.91,233.73,36.16,12.46,10.01,591.82,8.78,0,0,0,6.79,1.15,0,0,13.38,1.35,3.02,2.11,0.68,13.36
120,0,0,0,0,11.07,7.49,95.34,2.67,0,7.98,0,0,0,1.63,19.86,0,0,19.51,171.57,0,19.06,2.7,1212.68,27.06,0,0,0,32.7,0,0,0,50.78,0,0,0,0,2.34
