stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,64.6,2305.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.49,0,0,0,0,0,0,0,0,0,0
  5-6,80.31,2277.95,0,13.2,0,0,0,0,0,0,0,0,0,24.78,0,0,0,0,0,0,0,0,0,0,0,69.32,0,0,0,0,28.9,0,0,0,0,0,0,0,0,0,0
  7-9,43.84,21.67,0,42.23,0,0,0,92.46,0,0,0,0,0,36.96,0,0,0,0,0,0,0,0,0,0,0,711.19,28.97,0,0,199.54,3.28,8.88,0,0,0,0,0,0,0,0,0
 10-12,0,30.15,0,32.91,0,0,0,41.77,0,0,0,0,0,12.93,0,0,0,0,0,0,0,0,0,0,0,497.19,17.98,0,0,233.89,4.33,9.99,0,5.88,0,5.78,0,0,0,0,0
 14-21,0,0,0,1.9,9.43,8.09,0,5.4,0,0,0,7.97,0,0,1.3,0,0,0,0,4.22,0,7.08,0,0,7.75,115.36,0,0,0.84,2.5,3.39,1.77,14.99,5.2,7.09,8.8,26.89,0,2.41,0,0
 24-34,0,0,0,0,3.94,0,0,10.99,0,0,0,1.4,1.02,0,0,0,0.68,0,1.12,0.96,0,14.33,0,0,5.17,160.32,1.05,2.28,0.64,0,9.8,0,0,0.61,0,1.23,23.72,0,5.97,0,0
 36-46,0,0,0,0.56,0.71,1.01,0,22.09,0,7.65,0.88,5.47,0,0,0.75,0,0,0,0,0,0,11.87,1.94,1.32,1.28,148.53,4.31,0,0,0,3.59,0,0,0,0,0.56,37.2,0,6.21,0,0
 48-58,0,0,0,0,0,1.58,0,42.21,1.77,0,0.41,6.2,0,0,0,0,0,0,0,3.99,0,14.21,0,0,1.46,94.54,0,0,0,0,1.98,0,0,0,0,0,20.44,0,0,0,5.36
 60-70,0,0,0,0,2.01,0,0,44.2,0,0,0,7.9,0,0,0,0,0,0,0,0,0,7.98,0,0,0.84,69.99,0,0,0,0,2.32,0,0,0,0,0,14.84,0,0,0,0
 72-82,0,0,0,0,1.86,0,0,56.21,0,0,0,5.03,0,0,0,1.18,0,0,0,0,0,13.25,0,1.01,1.83,72.28,0,3.31,0,0,0,0,0,0,0,0,6.18,0,0,0,0
 84-94,0,0,0,0,1.01,1.92,0,34.05,0,0,1.05,1.52,0,0.6,0,1.28,0,0,0,0.68,0,14.5,0,0.92,1.25,60.29,0,0,0,0,10.84,0,0,0,0.69,0,6.41,1.34,3.57,0,0
 96-106,0,0,0,0,2.42,4.38,0,26.36,0,0,0,6.82,1.06,0,0,0.94,0.62,0,0.79,0,0,13.89,0,0,0.67,36.51,0,4.4,1.47,0,0.66,0,0,0,0,0,1.77,0,0.77,0.96,1.89
108-118,0,0,0.97,0,3.5,5.04,1.07,22.41,0,0.56,0.8,7.29,1.09,0,0,1.4,0.81,0.83,0,0,3.46,8.78,0,0.74,5.45,76.11,0,1.44,0.84,0,2.87,0,0,0.48,0.43,0,0,0,11.06,0,0
120,0,0,0,0,3.96,0,0,6.09,0,0,2.59,3.81,2.75,0,0,1.43,1.4,0,0,1.73,0,2.29,1.72,0,6.96,58.18,0,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0
