stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,207.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,235.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.74,0,6.57,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0,100.74,4.5,0,0,12.46,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.68,0,0,0,0,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.19,0,0,0,32.81,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.81,18.53,5.91,0,16.3,0,0,9.91,2.74,3.27,1.46,0,0,0,0,0,0,16.84,0,0,19.35,214.87,2.13,0.87,3.19,4.53,0,3.84,13.94,5.04,0,24.82,71.03,0,0,0.84,0,0
 24-34,0,0,0,0,1.32,2.05,0,36.7,0,0,8.45,0,0,0,0,0.62,0,1.49,0,0.8,23.37,0,0,9.69,409.47,0.64,3.07,0,0,0,8.58,0,0,0,1.26,91.53,0,0,2.74,0,3.29
 36-46,0,0,0,0,13.97,0,0,91.08,0,0.78,8.29,0,0,0.65,0,0,0,0,0,0,14.9,0,2.26,28.52,332.08,3.24,1.7,0,0,0,4.14,0,8.03,4.61,0,60.89,0,0,1.81,0,2.09
 48-58,0,0,0,0,1.27,0,0,145.65,0,1,17.45,0,0,0,0.5,0,6.37,0,1.78,0.58,32.9,0.37,0.54,8.18,312.84,5.29,0,2.47,0,0.47,3.95,0,4,0,0,64.61,0,0.42,6.92,0,2.67
 60-70,0,0,0,0,2.31,1.04,0,132.5,0,1.47,13.9,0,0,0,0,0,0,0,0,1.24,25.18,2.07,2.14,4.01,188.09,0,1.29,0.65,0,0,0,0,0,0,0,39.4,0,0,8.92,0,0
 72-82,0,0,0,0,3.73,14.61,0,96.51,0,1.05,21.01,0.49,0,0,0,0,0,0,0,0,45.51,0,0,3.49,127.53,0,0,0,0,0.77,5.05,0,0,0,0,22.35,0.53,0,10.13,0,0
 84-94,0,0,1.05,0,1.92,12.39,0,46.81,0,0.59,18.54,1.51,0,0,0.66,0,0.57,0,0,0,31.75,0,1.33,11.38,104.74,0,0,0.56,0,6.05,3.96,0,0.73,0,0,3.03,0,0,1.21,1.36,0
 96-106,0,0,0,0,13.96,20.69,0,59.74,0,2.38,18.45,0.63,0,0,2.96,0,1.14,0,0,0,35.51,0.77,0,8.09,99.81,0,0,4.61,0,0,11.29,0,0,0,0,0,0,0,10.74,0,0
108-118,0,0,0,0,9,19.48,0.92,31.02,0.86,2.91,9.84,7.69,0,0,5.12,0.86,0.92,0,0,2.32,33.31,0.53,3.22,5.48,118.64,0,0,0.56,0,0,11.31,0,0,0.41,0,0,3.42,0,11.51,0,1.88
120,0,0,0,0,11.93,0,0,37.05,0,0,31.57,0,0,0,2.56,1.25,2.93,0,0,0,26.99,0,0,5.73,90.93,0,0,0,0,0,2.29,0,1.22,0,0,0,0,0,0,6.61,0
