stage,epidermis,eye,glial,gut,heart,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,24.55,0,0
  7-9,0,0,0,0,0,0,0,0,0,9.75,0,0,6.38,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,8.05,0,0,0,0,0,0
 14-21,10.04,0,0,3.43,0,0,0,3.82,1.04,9.74,0,0,0,6.91,0,0.97
 24-34,11.77,0.65,0,1.34,0.85,0,0,6.1,0,11.18,0,0,0,0,0,1.06
 36-46,0,0,0,0,0,0,5.42,1.6,0,0,0,0,0,1.16,0,0
 48-58,0.47,0,0.87,0,0,0,0,0,0,0,35.75,0,0,0,0,0
 60-70,0,0.82,0,0,0,0,0,0,0,5.8,114.64,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,64.37,0.84,0,0,0,0
 84-94,0,0,0,0,0,0.89,0,0,0,0,55.13,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.64,19.79,0,0,0,0,1.95
108-118,0,0,0,0,0,0,0,0,0,1.87,121.15,0,0,0,0.69,0
120,2.28,0,0,0,0,0,0,0,0,0,30.75,0,0,0,0,0
