stage,epidermis,eye,glial,mesenchyme,neural
 14-21,0,0,0,0,1.29
 24-34,0,0,0,0,1.81
 36-46,0.57,0,0,0,3.76
 48-58,0,0,0,1.1,3.63
 60-70,0,0,1.37,0,0
 96-106,0,1.14,0,0,0
108-118,0.43,0,0,0,1
120,0,1.03,0,0,0
