stage,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.08,0,0,0,3.31,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.82,1.03,0.83,0,0,0,0,0,0,0,7.19,0,0,0,0,0,1.14,1.01,0,0,0,48.39,1.01,35.09,6.41,0,0,0,0,0
 24-34,4.52,0,1.59,0,1.64,0,0,0,0,0,25.73,0,0,0,0,2.85,0,15.19,0,4.11,0.64,115.67,0,55.28,0,2.03,0,0,0,0
 36-46,2.2,0,4.87,0,1.56,0,0,0,0.76,0,15.83,0,0,1.62,0,3.38,0,42.44,0,1.71,6.01,75.1,0,28.55,0,1.67,0,0,0,4.22
 48-58,0,0,9.49,0,7.09,2.61,0,0,0,0.85,11.7,0,1.93,0,1.79,2.53,0,64.75,0,2.4,3.66,96.79,0,25.57,0,1.55,0,0,0,0
 60-70,2.45,0.68,1.98,0,8.36,0,0,0.66,0,0,6.55,0,1.02,0,0.88,3.91,0.59,21.44,0,3.22,0.84,107.79,0,34.42,0,0,0,0,0,0
 72-82,5.06,0.75,10.2,0.9,9.02,0,0,13.78,0,0,7.29,0,3.43,5.81,0.85,14.78,0,38.99,0,4.16,5.43,64.04,0,34.16,0,0,7.58,0,0,0
 84-94,10.05,1.64,12.75,2.35,0.87,0,0,13.49,2.22,0,5.56,0,0.66,10.91,6.1,38.96,0,41.33,0,1.36,11.93,287.49,0,58.4,0,0,4.91,0,0,0
 96-106,4.3,0,22.45,0,12.15,1,7.85,24.95,0,0,9.56,2.73,0,2.86,4.01,52.57,0,51.06,0,10.89,4.75,145.38,0,43,0,0,7.97,0.76,0,0
108-118,12.26,2.79,21.6,17.08,18.13,0.99,7.9,33.83,0,2.04,14.33,0,0.43,17,1.79,26.24,0.48,33.64,0,0.59,2.63,119.37,0,50.6,0,0,12.92,0,1.66,0
120,19.47,0,28.25,0,6.39,1.27,0,68.6,0,2.58,10.95,0,0,3.18,1.57,22.44,0,34.67,4.62,0,22.93,102.47,0,43.84,0,0,4.05,0,0,0
