stage,endoderm,epidermis,fin_epithelia,glial,gut,immune,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.77,0,0,0,0,0,0
 10-12,13.79,0,0,0,0,0,0,0,0,10.73,0,59.49,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.83,0,0,0,0,0,4.92,0,2.51,0,0,0
 24-34,0,0,0,0,0,0,6.38,0,0.74,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,1.67,0,0,0.8,0,0.57,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.84,5.19,0.9,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,2.1,0,0,13.36,0,0,0,0.63,0,0,0,2.6
 72-82,0,0,0,0,0,0,6.2,0,0,7.24,0,0,0,0,0,0,0.77,0
 84-94,1.04,0,0,0,0,0.8,12.9,0,0,15.56,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.69,0.56,1.93,0,0,6.54,0,0,0,0.61,0,0,0,0
108-118,0,3.29,2.29,0,0,0,3.15,0,0,9.6,0,0,0,0,0,0,0.75,0
120,0,1.01,0,2.82,0,0,4.43,0,1.51,17.64,8.07,0,0,0,0,5.96,0,1.35
