stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,123.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.12,0,0,0,0,104.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0,0,21.5,0,0,0,4.78,28.13,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.13,0,0,0,6.43,18.58,5.47,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,15.9,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.79,0,0,0,0,0,0,0,18.36,0,8.75,0,0.69,0,1.85,8.77,0,33.99,0,0,25.59,0,0,0,0,0,0,0,0
 36-46,0,2.21,0,0,0,0,0,0,0,0,0,0,36.12,0,3.64,0,0,0,0,22.61,0,38.49,0,0,4.57,0,0,0,1.99,0,0,0,0
 48-58,0,6.96,0,0,0.97,0,0,0,0,0.78,0,0,9.56,0,6.86,1.24,4.33,0,0,5.07,0,31.62,0,0,16.93,0,0.53,0,0,0,0,0,0
 60-70,0,45.02,0,0,1.65,0,0,0,6.01,0,0,0,16.83,0,29.03,0.58,0,0,0,5.83,0,30.26,0,0,38.33,0,0,0,0,9.6,0,0,0
 72-82,0,116.38,0,0,3.29,0,0,1.54,44.96,5.3,0,0,27.94,0,44.33,0.69,0.66,0,0,14.97,0.53,18.62,4.79,0,8,0,0,0,0,40.87,0,0,0
 84-94,0,337.21,0.63,0,1.27,1.94,0,0.63,132.06,0,0,0,19.97,0,76.12,1.86,7.58,0,0,5.14,0,82.64,0,0,18.14,0,0,0,0,79.88,0,0,0
 96-106,0,431.45,17.72,0,42.62,0,2.8,2.61,524.37,0,0,1.96,50.9,2.39,170.07,6.72,9.5,5.97,0.76,34.34,2.06,75.22,9.73,0,21.94,0,0,0.7,0,205.7,6.99,2.72,0
108-118,0,367.23,5.93,3.85,16.82,1.24,0,9.93,830.81,0,1.03,0.42,11.72,0,148.72,21.71,5.06,1.29,1.39,55.72,0,70.43,0.54,0,16.51,0,0,0,0,189.21,4.07,0,0
120,0,219.02,0,0,3.11,0,0,4.64,243.89,0,0,0,38.75,0,68.74,4.32,2.21,0,0,33.35,0,16.9,0,0,36.35,0,0,0,0,84.08,0,0,10.98
