stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature
  3-4,62.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.65,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,10.32,0,0,12.49,0,0,0,0,0,0
 14-21,0,0.85,3,0,1.51,0,0,0,0,2.03,0,0,4.1,0,0,0,0,1.67,0,3.71,0,0
 24-34,0,1.4,0,2,0,0,0,0,0,1.09,0,0.85,11.93,0,0,0,0,0,0.6,2.41,0,0
 36-46,0,0,0,0.7,0,0,0,0,0,3.55,0,0,27.68,0,0,0,0,0,0,6.21,0,0
 48-58,0,0,0,9.35,1.05,0,0.78,0,0,2.58,0,0,25.8,2.13,0,0,0,0,0,5.04,0,0
 60-70,0,0,0,8.33,0.78,0,0,0,5.4,1.62,0,0,34.33,3.17,0,0,0,0,0,0.65,0,8.01
 72-82,0,0,0.84,4.33,0,0.85,0,0,0,1.82,0,0,5.89,0,0,0,0,0,0,1.58,0,0
 84-94,0,0,0,0.84,0.87,0,0,0,0,0,0,0,1.37,3.8,3.13,0,0,0,0,0,1.17,0
 96-106,0,0.69,2.12,5.45,0.72,0,0,0,1.61,1.67,0,0,16.63,13.3,0,0,0.61,0,0,1.13,0,0
108-118,0,0,0,2.31,0,0,0,1.61,0.45,0,1.9,0,6.41,4.77,0,0,0,0,0,0,0,0
120,0,0,0,33.76,0,0,3.01,0,1.07,0,0,0,7.26,1.11,0,0,1.12,0,0,0,0,0
