stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,xanthophores
  3-4,536.84,14471.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1606.55,0,0,0,0,0,0
  5-6,405.67,10210.8,0,0,0,0,0,41.56,0,0,0,0,0,0,101.42,14.56,0,0,592.16,0,0,0,0,0,0
  7-9,95.92,23.62,19.63,0,11.38,0,0,190.42,0,0,0,0,0,0,374.22,9.02,0,132.99,0,3.47,0,0,0,0,0
 10-12,0,4.98,15.74,0,9.62,0,0,0,0,0,0,0,0,0,153.76,21.06,0,42.23,0,0,6.49,0,3.28,0,0
 14-21,0,0,0,0,9,0,0,0,0,0,4.98,0,0,1.91,19.39,0,0,0,0,0,0,3.78,5.5,0,2.02
 24-34,0,0,0,0.94,6.32,0,0,0,0,0,13.95,0.75,0,0,8,0.7,0,0,1.43,0,0,0,1.16,0,69.91
 36-46,0,0,0,0,0.8,0,0,0,0,0,3.61,1.11,0,0,9.5,0,0,0,0,0,0,0,1.78,0,27.6
 48-58,0,0,0,0,2.05,0,0,0,0,0,7.12,0.39,0.39,0,9.45,0,0,0,0,0,0,0,0.84,0,22.76
 60-70,0,0,0,0,8.35,0,0,0,2.28,0,0,10.18,0,0,10.89,0,0,0,0,0,0,0,0,0,32.07
 72-82,0,0,0,0,0,0,0,0,0,0,0,5.08,0,0,0.59,0,0,0,0,0,0,0,0,0,13.61
 84-94,0,0,0,0,2.06,0,0.71,0,0,2.08,0,0.8,0,0,2.85,0,0,0,0,0,0,0,0,0,14.49
 96-106,0,0,0,0,2.96,0,0,0,0.58,0.57,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,1.82
108-118,0,0,0,0,0,1.74,0,0,0.52,0,0.43,0,0,0,1.5,0,2.37,0,0,0,0,0,0,0.44,6.94
