stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.23,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,7.89,0,4.15,0,0,0,0
 24-34,1.34,0,0,0,0.9,0,0,0,2.64,0,2.11,0.79,0,0,3.06,0,0,0,77.41,0,0,0,0,0,0
 36-46,0.87,0,1.25,0,1.04,0,0,0,0,0,0,3.65,0,0,6.86,1.15,0,0,206.48,0,0,2.37,0,0,1.45
 48-58,4.1,0,5.42,0,5.91,0.42,0,0,0.38,0,1.64,2.61,0.54,0,10.97,0,0,0,216.26,0,0,1.45,0,0,0
 60-70,8.92,0,6.7,0,5.63,0,0,0,2.58,0,6.08,2.8,0,0,8.4,0.83,0,0,489.21,0,0,0,0,0,0
 72-82,10.55,6.23,5.16,0,4.4,0,2.33,0,3.49,0,0.92,5.19,0,0,9.36,0,0.56,0.88,418.65,0,0,0,0,0,0
 84-94,14.9,0,4.14,0,5.75,0,1.88,0,10.69,0,0,5.26,0,0,23.38,0,0,0,1321.79,0,0,4.39,0,0,0
 96-106,30.87,0,5.48,0,19.16,0,2.52,0,16.25,0,0,10.99,0,0,21.98,0.9,0,0,1340.72,1.18,0,0,0.92,1.3,0
108-118,45.1,0,13.67,0.76,20.22,0,4.66,3.56,9.93,0.76,13.1,12.88,0,0.76,14.26,0.48,0,0,999.16,0,0,0,0,0,0
120,80.79,0,24.19,4.91,42.3,0,0,3.32,16.3,2.07,0,12.89,0,0,1.17,0,0,0,888.52,0,0,0,3.24,0,0
