stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,38.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,17.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,8.2,1.61,0,1.59,0.82,0,1.98,0.99,1.01,1.08,0,6.75,0,0,0,0,0
 24-34,0,2.24,0,5.01,0,0,0,1.26,0,0,0,0.93,0,0.78,0,0,2.26,0.61,0,4.44,29.26,0,0,0,0,0,3.47,0,2.22,0,0.72,12.6,0,0,2.72,0,0
 36-46,0,0.61,6.98,5.94,0,0,1.66,4.76,0,0,0.57,12.02,0,0,0,0,6.89,0,0,2.97,35.93,0,2.16,0,0,0,3.53,0,2.7,0,0,11.66,0,0,1.61,0,1.26
 48-58,0,1.42,1.83,23.01,1.05,3.16,1.06,2.97,0,0,3.86,0,0,0,0,1.1,4.72,0,0,1.02,63.4,0,0,0.61,0,0,2.72,0,0.52,0,0,14.75,0,0,1.49,0,2.12
 60-70,0,0.75,0.57,15.96,0,0,0,0,0,0,0,0,0,0,0,0,3.87,0,2.57,0,36.55,0,0,0,0,0,7.37,0,3.37,0,0,0.88,0,0.6,0,0,0
 72-82,0,2.05,8.55,10.24,0,0,0,15.26,0,0,0,0.56,0,0,0,0,12.73,0,0,0,23.75,0,0,0,0,0,4.59,0,0.73,0,0,2.71,0,0,3.08,0,0
 84-94,0,1.19,2.8,16.44,0,0.78,0,1.19,1.38,0,0,0.67,0,0,0,0,9.64,0,4.03,0,41.76,0,0,1.86,0,0,3.71,0,0,0,0,6.65,6.48,0,0,0.78,0
 96-106,0,0.57,6.95,8.99,0,0,0,2.73,0,0.86,2.18,1.9,0.59,0,0,0,0.96,0,1.87,0,27.99,0,0,0,0,1.92,9.39,0,3.25,0,0,0,0,0,0,0,0
108-118,0,2.9,3.28,11.74,0,1.3,0,0,1.56,0,1.5,1.06,0,0.96,0.59,1.99,3.49,0.77,0,0,23.1,0,0,0.42,0,0,2.36,0,2.8,0,0,1.01,0,0,0,0,0
120,0,3.47,14.79,4.94,0,2.63,0,2.03,4.68,0,0,3.52,0,0,0,0,19.23,0,0,1.86,105.38,0,0,3.28,0,0,3.94,0,6.44,0,0,0,3.68,0,0,0,0
