stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,64.15,1138.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.02,0,0,0,0,0,0,0
  5-6,98.43,955.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,8.51,0,0,0,0,0,0,0
  7-9,7.01,5.89,0,0,0,0,0,5.38,0,0,0,0,11.75,0,0,0,0,0,0,0,0,0,0,171.5,17.41,0,0,29.56,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.89,0,0,0,33.69,0,0,0,15.3,0,0,0,0,0
 14-21,0,0,0,5,7.82,0.84,0,13.07,0,0,3.29,0,0,0,0,0,0,0,6.06,0.86,0.84,0,0.87,46.49,0.89,0,27.12,0,0,0,3.95,0.97,6.74,44.84,1.16,0,0
 24-34,0,0,0,1.51,3.57,0,0,22.87,0,0,6.96,0,0,0,0,2.16,0,1.93,2.7,11.36,13.27,0,3.15,79.65,8.57,12.05,51.17,0,0,3.73,0,0,0,64.81,23.1,0,0.76
 36-46,8.46,0,0,0,0,0.76,0,42.15,1.14,0,17.91,0,0,0,0,16.02,0.86,0.61,0,43.99,15.69,0,0,76.62,10.88,15.22,23.46,0,0,1.66,0,0.59,0,178.47,5.94,0,5.36
 48-58,0,3.88,0,0,0,0,0,78.64,0,0,42.13,0,0,0,0,0,0,0.5,0,39.4,25.43,0,8.05,177.24,3.35,20,24.01,0,0,3.62,0,0,0,125.08,8.78,0,14.67
 60-70,0,0,0,0,0,0,0,329.77,0,0,110.14,0,0,0,0,0,3.02,1.94,0,20.89,34.81,0,2.53,310.68,1.33,36.6,10.71,0,0,0.63,0,0,0,179.55,1.54,0,8.91
 72-82,0,0,0,0,5.01,0,0,478.1,1.17,0,264.45,0.56,0,1.41,0,0,1.66,17.77,0,16.96,36.02,0,0.84,511.94,1.5,40.96,30.5,0,0,0,0,0,0,127.72,4.63,0,18.95
 84-94,0,0,0,0,5.22,2.46,0,471.8,0.6,0,195.4,1.91,0,0,3.04,0,2.45,11.65,0,36.27,27.39,1.06,2.32,396.04,1.7,43.06,23.83,0,0,5.13,0,0,0,127.69,1.24,0,36.06
 96-106,0,0,0,0,5.95,7.75,1.53,420.04,0,1.02,348.28,0.85,0,0,0.64,0,3.17,21.61,1.87,17.63,43.35,0.88,0,337.44,0.91,69.46,39.13,0,15.39,6.38,0,0,0,166.55,10.66,0,33.25
108-118,0,0,0.73,0,4.71,3.91,0,392.28,0,0,379.14,0.86,0,0,0,1.01,3.9,20.49,0,30.59,65.83,0.51,0.71,462.55,0.43,51.19,51.31,0,0,14.37,0,0,0,57.56,1.5,1.03,24.03
120,0,0,0,0,19.17,2.6,0,532.01,0,0,345.26,0,0,0,0,0,0,12.3,0,5.81,63,0,0,580.54,1.29,45.09,57.86,0,0,5.52,0,1.26,0,51.12,4.37,0,20.38
