stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.9,29.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,14.56,0,0,0,0,4.1,0,0,0,0,0,10.37,0,0,0,0,0,0,0,0,0,0,0,18.49,0,0,0,9.59,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.29,0,23.35,0,14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.3,22.93,0,0,377.31,0,0,0,0,0,400.29,0,0,0,0,0,0
 14-21,0,0,0,1.52,7.07,3.76,1.15,0,0,0,1.75,0,0,26.95,0,0,0,0,4.41,0,7.76,0,0,174.56,111.4,0,0,0.94,2.61,0,3.32,57.74,0.82,11941.92,2121.77,24.38,0,0,8.58,0,0
 24-34,0,0,0.66,0,12.41,0,17.99,229.41,0.92,0,7.29,1.02,0,111.22,0.83,0.85,0,0,1.51,0,15.3,0,0,339.04,347.43,3.51,1.69,1.71,0,0,18.55,5.84,4.79,4655.1,242.46,39.27,0,0,21.36,0,0
 36-46,0,0,0,0,4.12,1.29,19.38,668.32,0,3.67,4.82,0,0,13.87,3.99,1.48,0,0,0,0,40.41,0.56,0,254.58,308.72,0,1.07,2.37,73.43,0,5.68,12.21,0,3106.64,5.01,42.2,0,0,9.93,0,0
 48-58,0,0,0,0,5.3,3.43,61.47,472.98,0.55,0.55,30.31,3.05,0,41.43,0,0.46,0,0,2.68,7.86,33.65,0,0,182.2,248.16,12.62,3.57,0.69,0,0.47,5.61,0,7.7,1319.8,0,38.76,0,0,1.23,0,9.12
 60-70,0,0,0,0,3.44,0,112.56,646.41,0,0,1.4,0,0,84.39,0.69,0.58,0.98,0,0,0,25.35,0,3.23,194.34,178.03,6.76,0,0,2.43,0,10.23,0,0,917.76,0,42.57,0,10.61,7.91,19.84,6.2
 72-82,0,0,0,0,3.78,11.73,82.32,305.1,2.6,3.32,13.89,0,0,1.3,1.46,0.56,0,1.13,13.92,0,30.37,0,0,90.82,126.28,0.5,0,1.31,27.04,0,1.96,0,0,423.82,0,14.3,0,15.19,12.43,31.95,14.86
 84-94,0,0,0,0,5.68,7.07,84.15,765.9,0,2.3,1.31,0,0,0,0.71,0,0,0,2.37,0,47.16,0.75,13.4,69.55,82.67,0,0,0,0,0,8.96,0,0,443.73,0,8.73,0.56,23.81,14.35,54.19,0
 96-106,0,0,2.46,0,5.26,20.6,72.74,744.11,9.46,0,24.25,0,0,9.02,1.52,0,3.11,0,12.88,0,41.09,5.2,10.66,67.55,131.47,2.12,6.29,9.55,69.69,0,16.22,0,0,427.69,0,7.92,0,21.35,1.59,123.35,8.74
108-118,0,0,0,0,3.19,4.06,65.29,518.33,0.42,0,9.64,1.25,0,66.64,0.98,1.11,0,0,2.11,1.72,33.43,1.25,0,34.65,65.03,0.43,0.46,2.73,0,0,7.63,0,0,273.52,0,9.26,1.3,33.16,0,42.09,0
120,0,0,0,0,0,2.21,20.71,498.35,0,5.14,4.83,0,0,0,3.62,0,0,0,0,0,40.51,0,0,3.63,46.82,0,0,1.98,0,0,7.74,6.71,0,156.16,0,0,0,35.28,0,80.99,0
