stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,23.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.34,0,1.74,0,0,0,0,8.55,4.93,58.93,0,0,0,0,0
 24-34,0,0,4.87,1.09,0,1.92,0,0,0,0,0,0,5.2,0,0,0,0.65,0,0.81,0,0,0,636.65,0,24.8,0,0,0,0,0,0,174.48,0,0,0,0,0
 36-46,0,0,0,4.05,0,44.63,0,0,0,3.61,0,0,0,0,0,0,0,4.83,5.5,0,0.63,1.57,2544.85,0,74.32,1.54,0,1.61,0,0,0,395.65,0,0,0,0,4.39
 48-58,0,0,1.53,0,0,272.66,0,3.82,1.33,28.93,0,0,0,4.58,0,0.59,0,0,27.3,0.8,0,2.1,3950.61,11.62,50.03,0,0,10.7,0,0,0,683.72,0,0,2.08,0,17.73
 60-70,0,0.57,18.79,0,0,1316.35,0,0,8.4,43.97,0,1.72,0,0,0,1.96,1.33,6.77,29.13,0,9.72,3.39,6016.37,0,52.43,2.61,0,8.94,0,0,0,875.41,0,0,17.03,0,20.97
 72-82,0,0,25.24,10.37,0,2691.43,0,4.17,10.67,121.21,1.29,2.74,1.54,0.93,4.33,0.65,8.04,0,65.61,0.92,7.9,10.67,5017.2,0,72.59,2.93,0,14.07,0.73,0,0,645.33,3.64,1.65,11.79,0.59,52.14
 84-94,0,1.15,20.18,6,1.24,1876.9,0.7,0.56,1.09,79.97,0.85,1.84,2.1,0,10.31,0,0,0,38.49,0.86,0.66,4.6,3357.23,1.52,48.93,0.69,0,9.46,0,0,0,397.5,0,2.64,4.57,0,2.4
 96-106,0,0,27.47,6.11,2.1,2732.88,0,2.38,5.19,136.22,1.42,1.61,1.45,0,1.98,1.2,0,0,63.76,3.67,2.39,4.65,2846.58,0,122.17,1.42,4.67,10.39,0,0,0,156.97,0,0,5.11,0.96,10.33
108-118,0,0,47.6,2.83,1.73,2006.71,1.3,1,0,124.03,0.45,0,3.15,0,0.42,0,0.51,0,32.45,0,2.31,2.6,4531.9,0,86.95,9.4,0,6.35,0,0.69,0,185.15,2.48,2.74,0.84,0.95,0
120,0,0,43.91,0,0,1214.1,1.72,0,0,210.84,0,0,0,0,0,0,0,0,51.69,1.49,0,18.89,5403.9,5.26,118.66,19.67,3.68,1.21,0,1.32,0,177,0,0,6.49,0,0
