stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,4.51,0,5.57,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.83,0,0,7.79,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,14.44,0,0,0,0,1.5,0.87,1.74,1.95,0,0,0
 24-34,0,0,0,0,0,27.42,0,0.64,0,0,0,0,0,0,0.61,17.23,0,0,0,0,0,0,0,1.7,0,0,0
 36-46,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0.99,0,7.35,0,0,0,0,0,13.14,0,0,0,0,0
 48-58,0,0,0,0,0,26.34,0,0,0,0.38,0,0,0,0,0.49,28.88,0,0,0,0,0,0,0,2.65,0,0,0
 60-70,0,0,0,0,0,296.15,0,0.85,0,0,0,0,0,4.03,0,28.55,0,0,0,2.32,0,1.12,0,2.53,0.59,0,0
 72-82,0,0,1.79,0,0,661.57,7.35,9.06,0,0,0,0,0,16.32,0,27.14,0,0.81,0,0,0,2.61,0,12.18,0,0.6,0
 84-94,0,0,1.96,0,0,770.69,5.64,18.42,0,0,0,0,0,8.35,0,1.73,0,2.79,0,1.19,0,6.56,0,9.76,1.42,0,0
 96-106,0,0,3.17,0,0,762.83,7.89,7.51,0,0,0.66,0,22.97,5.76,0,28.8,0,5.26,0,1.87,0,6.02,0,1.8,0,2.72,0
108-118,0,0,0.79,1.88,0,626.21,2.45,7.25,0,0,0,0.51,0,12.38,0,7.16,0,11.02,0,2.06,0,4.02,0,0,2.15,0,2.49
120,0,0,3.28,0,1.03,812.21,5.79,0,2.15,0,0,0,0,5.85,1.66,29.49,16.99,34.19,0,6.48,0,3.35,0,0,0,0,0
