stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06,6.34,0,0,0,0,284.92,0,0,0,0,0,0,0
 24-34,0.88,0.8,3.13,0,0,6.84,0,0,0,2.45,0,0,0,9.26,0,0,0,2.46,2.82,0.65,0,9.93,126.94,0,0,1.65,0,21.84,2718.26,0.88,20.63,0,0,7.35,0,0
 36-46,0,0,91.13,0,0,12.3,0,0,0.78,6.03,0,0.72,0,0,0,0.57,31.57,0,13.16,0,0,0.77,158.5,0,0,0,0,0.58,2834.67,6.59,16.14,0,0,5.63,0,0
 48-58,0,0,8.71,1.87,0,60.79,0,4.45,3.19,31.39,0,0,3.9,0.64,0,0,210.45,0,9.39,0,3.51,1.53,166.68,0.65,0,0,0,14.4,1996,0,28.5,0,0,3.51,0,7.46
 60-70,0.81,0,3.51,0.81,0,62.44,0,26.61,27.3,43.02,13.96,0.6,0,0,8.15,0.73,0,0,22.59,0,0,0,120.66,0,0,0.78,0,31.31,1807.45,2.94,6.16,0,0,1.46,0,0
 72-82,0,5.81,33.28,16.94,0,232.46,0.75,75.76,4.27,80.73,174.23,2.95,6.88,0.66,2.82,4.32,10.65,0,59.06,2.42,0.55,13.22,500.31,4.85,1.48,4.76,0,15.68,3681.08,0,16.46,0,0,13.16,2.15,17.61
 84-94,0,1.53,20.72,33.43,0,203.22,0,2.31,2.45,58.48,350.65,0,5.24,1.76,14.98,0,145.39,5.22,77.08,0,0.84,1,299.37,13.01,0,2.91,0,34.91,8426.43,1.02,2.93,0,9.08,8.49,3.12,0
 96-106,0,5.68,56.62,97.64,20.61,317.66,4.52,1.94,7.19,67.54,498.13,1.02,15.29,7.78,3.88,2.83,103.05,0,129.73,4.75,1.36,47.6,658.25,0,8.82,5.55,3.88,91.26,9470.52,0,6.39,11.69,5.75,20.95,2.76,8.89
108-118,0,2.24,45.81,31.71,7.59,216.15,8.1,9.54,8.24,56.26,505.79,2.36,7.39,1.46,7.91,0,175.27,12.12,166.26,3.9,4.66,11.78,427.97,0.56,5.86,0.98,5.55,51.3,10774.39,0.47,22.67,5.18,1.81,7.95,0.62,12.36
120,0,2.94,85.37,19.89,9.85,122.54,12.08,1.45,0,149.94,245.47,2.11,1.6,5.17,15.46,0,17.99,1.64,68.21,0,2.58,11.39,483.53,0,0,34.24,0,8.51,6422.51,0,8.87,0,1.52,15.28,0,3.85
