stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,ionocyte,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,somites,spinal_cord,visceral_smooth_muscle
  7-9,8.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.74,0.86,0,0,0,0.95,0,0
 24-34,0,0,0,0,0,0,0,0,5.49,0,0.62,0.6,0.6,0.99,0.61,0
 36-46,0,0,0,0,0,0,0.62,0,3.79,0,0,0,0,0,0,0
 48-58,0,0,0.91,0,1.54,0,1.15,0,4.29,0,0,0,0,0,1.35,0
 60-70,0,0,0,0,0,0,2.76,0,6.63,0,0,0,0,0,3.73,0
 72-82,0,0,0.93,0.9,1.32,0,0,0,7.18,0,0,0,0,0,0,0
 84-94,0,0.56,0,0,0,0,1.47,0,3.39,0,0,0,0,0,4.52,0
 96-106,0,0,10.39,0,1.02,0,8.72,0.62,5.17,0,0,0,0,0,2.38,0
108-118,0,0,0,0,1.51,0.59,0.56,0,6.12,0,0.66,0,0,0,2.65,1.65
120,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0
